Country or Area of the World,Ordained Ministers 2019,Churches 2019,Companies 2019,Church Membership 2019,Population Estimate (Thousands) 2019,Adventists Deaths Per Thousand,General Population Deaths Per Thousand,Church Membership Per Ten Thousand Population,Population Per Member Ratio,Perc Net Membership Growth Over Last Year,Perc Net Membership Growth Over Last 10 Years
Afghanistan,0,0,0,5,38042,0,7,0,6340333,0,67
Aland Islands,0,0,0,11,30,0,10,4,2500,0,10
Albania,4,5,2,467,2858,0,8,2,6107,1,41
Algeria,0,0,0,79,43406,0,5,0,542575,13,76
American Samoa,4,10,8,1880,58,1.73,6,324,31,8,5
Andorra,0,0,1,20,80,0,4,3,3810,0,100
Angola,135,1602,2299,544260,31427,2.75,9,173,58,9,48
Anguilla,2,3,1,1236,15,0.84,5,824,12,4,50
Antigua and Barbuda,16,30,2,8350,97,4.79,6,861,12,0,0
Argentina,141,624,431,120959,44939,6.28,8,27,372,2,14
Armenia,3,19,11,834,2962,17.67,9,3,3547 (2) (3),,
Aruba,2,8,3,1159,106,0.92,9,109,91,6,57
Australia,263,434,112,62838,25310,8.12,6,25,403,1,14
Austria,23,55,9,4288,8877,9.6,9,5,2070,0,11
Azerbaijan,2,5,6,487,10023,16.29,6,0,20539 (1) (32),,
Bahamas,13,60,3,21704,389,2.46,7,558,18,3,17
Bahrain,0,0,0,88,1505,0,2,1,16910,0,120
Bangladesh,18,125,287,33561,163667,0.83,5,2,4877,3,6
Barbados,17,57,3,20314,287,4.45,9,708,14,3,12
Belarus,28,66,28,3748,9467,8.09,13,4,2525 (2) (27),,
Belgium,5,33,2,2717,11458,7.53,10,2,4216,2,40
Belize,14,95,38,47682,408,0.19,5,1169,9,3,41
Benin,6,31,59,5859,11801,2.71,9,5,2014,6,19
Bermuda,6,11,1,3982,63,10.95,8,632,16 (1),7,
Bhutan,2,14,24,841,752,3.8,7,11,893,7 +,
Bolivia,83,477,670,123199,11470,2.89,6,107,93,4,58
Bonaire,3,4,1,936,26,0,5,360,28,4,39
Bosnia and Herzegovina,3,23,0,594,3493,19.97,11,2,5871 (1) (3),,
Botswana,23,159,80,47611,2283,0.49,10,209,48,2,61
Brazil,1967,9558,8924,1723409,209332,4.93,6,82,121,3,40
British Virgin Islands,3,8,0,2094,30,0.5,5,698,14,4,34
Brunei Darussalam,0,0,0,0,427,0,4.00 -,427000,0,0,
Bulgaria,45,117,106,7008,6975,20.2,15,10,995,0 (7),
Burkina Faso,5,12,65,2358,20321,5.64,8,1,8614,11 (35),
Burundi,43,475,502,188632,11531,1.53,8,164,61,1,55
Cabo Verde,4,43,37,9428,550,0.32,6,171,58,0,45
Cambodia,6,7,35,3553,16487,4.13,6,2,4639,5 (40),
Cameroon,88,980,589,115371,25876,3.92,10,45,224,3,7
Canada,222,392,82,73006,37413,6.95,8,20,512,1,20
Cayman Islands,6,16,1,6527,67,2.91,3,974,10,6,59
Central African Republic,3,52,47,6281,4745,1.32,13,13,755,4 (38),
Chad,10,42,39,3893,16350,3.47,11,2,4199,23,5
Chile,127,684,315,104215,19107,6.96,6,55,183,0 (12),
China,136,1142,2968,467516,1398030,3.14,7,3,2990,2,22
Colombia,202,1801,884,290343,50374,3.05,6,58,173,3,4
Comoros,0,0,0,0,851,0,7.00 -,851000,0,0,
Republic of the Congo,2,16,7,1257,5381,2.84,7,2,4277,19,77
Democratic Republic of the Congo,354,2172,1837,686387,86791,2.01,10,79,126,5,36
Cook Islands,2,15,2,983,15,0,8,655,15,1,16
Costa Rica,22,250,65,50125,5060,5.02,5,99,101 (15) (19),,
Cote d'Ivoire,21,92,108,10224,25514,2.89,10,4,2495,9 (15),
Croatia,13,68,0,2565,4055,22.15,13,6,1580 (2) (11),,
Cuba,53,345,146,37728,11212,11.63,10,34,297,5,27
Curacao,6,28,2,8317,158,3.69,9,526,19,2,39
Cyprus,2,2,1,109,1250,9.71,6,1,11364,6,56
Czechia,53,149,21,7498,10670,10.87,11,7,1423,0,1
Denmark,9,37,1,2387,5819,8.77,10,4,2437,0 (2),
Djibouti,0,0,0,0,974,0,7.00 -,974000,0,0,
Dominica,8,23,5,7406,72,1.1,8,1029,10,2,10
Dominican Republic,112,939,462,358414,10400,0.58,6,345,29,3,35
Ecuador,53,308,385,54760,17268,6.48,5,32,315 (4),57,
Egypt,0,0,0,827,99064,3.86,6,0,119643,6,8
El Salvador,39,800,205,194916,6454,2.56,7,302,33 (1) (1),,
Equatorial Guinea,2,9,15,1692,1356,3.08,10,12,801,4 (30),
Eritrea,0,3,12,526,3497,0,7,2,6636,0,0
Estonia,4,19,2,1342,1328,20.23,12,10,989 (3) (18),,
Eswatini,2,26,41,9476,1096,1.98,11,86,116,4,80
Ethiopia,161,998,470,207743,112079,2.81,7,19,540,13,20
Falkland Islands (Malvinas),1,0,1,7,3,0,6,23,375,133 +,
Faroe Islands,0,1,0,52,52,39.22,0,10,981,2 (17),
Fiji,30,166,97,28147,892,3.09,8,316,32,2 (2),
Finland,7,59,9,4613,5491,15.28,10,8,1190 (1) (8),,
France,54,136,43,15761,64834,2.7,9,2,4113,1,26
French Guiana,5,14,8,3121,302,0.99,3,103,97,3,36
French Polynesia,9,44,18,5355,279,6.82,6,192,52,1,31
Gabon,4,21,16,2528,2176,2.5,6,12,860,6 (27),
Gambia,1,5,8,317,2348,0,8,1,7384 (22) (74),,
