Name,Birth,Ordination
Russell M. Nelson,9-Sep-1924,7-Apr-1984
Dallin H. Oaks,12-Aug-1932,3-May-1984
Henry B. Eyring,31-May-1933,1-Apr-1995
M. Russell Ballard,8-Oct-1928,6-Oct-1985
Jeffrey R. Holland,3-Dec-1940,23-Jun-1994
Dieter F. Uchtdorf,6-Nov-1940,2-Oct-2004
David A. Bednar,15-Jun-1952,7-Oct-2004
Quentin L. Cook,8-Sep-1940,6-Oct-2007
D. Todd Christofferson,24-Jan-1945,5-Apr-2008
Neil L. Andersen,9-Aug-1951,4-Apr-2009
Ronald A. Rasband,6-Feb-1951,3-Oct-2015
Gary E. Stevenson,6-Aug-1955,3-Oct-2015
Dale G. Renlund,13-Nov-1952,3-Oct-2015
Gerrit W. Gong,23-Dec-1953,31-Mar-2018
Ulisses Soares,2-Oct-1958,31-Mar-2018
