Service Year,Peak Pub's,Increase,%  Over Prev Yr,World Pop increase %,Avg Pub's,Increase,%  Over Prev Yr,Difference Peak vs Avg,Global Hours Spent,Baptised,%  Over Prev Yr,Pk Pubs vs Baptisms,Hours to convert,Memorial,Partakers,Ratio Pubs to Anointed,Congs,Peak pubs per cong,Lands,Left / Died,,,,,,
1914,"5,155",,,,,,,,,,,,,"18,243","18,243",,,,43,,,,,,,
1918,"3,869",,-24.947,,,,,,,,,,,,,,,,,"-1,286",,,,,,
1919,"5,793",,49.729,,,,,,,,,,,"21,411","21,411",,,,,"-1,924",,,,,,
1922,,,,,,,,,,,,,,"32,661","32,661",,"1,200",,,,,,,,,
1923,,,,,,,,,,,,,,"42,000","42,000",,,,,,,,,,,
1924,,,,,,,,,,,,,,"62,694","62,694",,,,,,,,,,,
1925,,,,,,,,,,,,,,"90,434","90,434",,,,,,,,,,,
1928,"23,988",,,,,,,,,,,,,,,,,,,,,,,,,
1933,,,,,,,,,,,,,,"83,941","83,941",,,,,,,,,,,
1935,"56,153",,134.088,,,,,,"5,050,798",,,,,"63,146","52,465",1,,,115,"-32,165",,,,,,
1936,"46,209",,,,,,,,"489,011",,,,,"71,451","53,835",,,,,,,,,,,
1937,"45,132",,,,,,,,,,,,,"36,285","24,308",,,,,,,,,,,
1938,"59,047",,5.154,,,,,,,,,,,"73,420","39,225",2,,,,"-2,894",,,,,,
1939,"71,509",,21.105,,,,,,,,,,,"77,164","29,385",2,,,,"-12,462",,,,,,
1940,"96,418",,34.833,,,,,,,,,,,"96,989","27,711",3,"5,130",,112,"-24,909",,,,,,
1941,"109,371",,13.434,,,,,,,,,,,,"23,989",5,,,107,"-12,953",,,,,,
1945,"156,299",,42.907,,,,,,,,,,,"186,247","22,328",7,"7,218",,107,"-46,928",,,,,,
1946,"158,034",,1.11,,,,,,,,,,,,"27,587",6,,,,"-1,735",,,,,,
1947,"181,071",,14.577,,,,,,,,,,,,"26,449",7,"10,782",,,"-23,037",,,,,,
1948,"230,532",,27.316,,,,,,,,,,,"376,393","25,395",9,"11,714",,,"-49,461",,,,,,
1949,"279,421",,21.207,,,,,,,,,,,,"24,312",11,,,,"-48,889",,,,,,
1950,"373,430",,33.644,,,,,,,,,,,"511,203","22,723",16,"13,238",28,147,"-94,009",,,,,,
1951,"442,380",,18.464,1.86,,,,,,"63,178",,,,,"21,619",20,"13,470",33,,"-5,772",,,,,,
1952,"456,265","13,885",3.139,1.83,,,,,,"54,707",-13.41,,,"667,099","20,221",23,"13,942",33,,"40,822",,,,,,
1953,"519,982","63,717",13.965,1.78,,,,,,"50,665",-7.39,,,"742,565","19,183",27,"14,163",37,143,"-13,052",,,,,,
1954,"580,498","60,516",11.638,1.75,,,,,,"57,369",13.23,,,"829,836","17,884",32,"14,531",40,,"-3,147",,,,,,
1955,"642,929","62,431",10.755,1.75,,,,,,"63,642",10.93,,,"878,303","16,815",38,"16,044",40,147,"1,211",,,,,,
1956,"640,347","-2,582",-0.402,1.76,,,,,,,,,,"919,994","16,302",39,"16,240",39,162,"2,582",,,,,,
1957,"716,901","76,554",11.955,1.78,,,,,,"59,828",,,,"1,075,163","15,628",46,"16,883",42,169,"-16,726",,,,,,
1958,"798,326","81,425",11.358,1.8,,,,,,"62,666",4.74,,,"1,171,789","15,037",53,"17,878",45,175,"-18,759",,,,,,
1959,"871,737","73,411",9.196,1.82,,,,,,"86,345",37.79,,,"1,283,603","14,511",60,"19,982",44,175,"12,934",,,,,,
1960,"916,332","44,595",5.116,1.83,,,,,,"69,027",-20.06,,,"1,519,821","13,911",66,"21,008",44,187,"24,432",,,,,,
1961,"965,169","48,837",5.33,1.85,,,,,,"63,070",-8.63,,,"1,553,909","13,284",73,"21,557",45,185,"14,233",,,,,,
1962,"989,192","24,023",2.489,1.87,,,,,,"69,649",10.43,,,"1,639,681","12,714",78,"22,166",45,189,"45,626",,,,,,
1963,"1,040,836","51,644",5.221,1.89,,,,,,"62,798",-9.84,,,"1,693,752","12,292",85,"22,761",46,198,"11,154",,,,,,
1964,"1,075,523","34,687",3.333,1.92,,,,,,"68,236",8.66,,,"1,809,476","11,953",90,"23,483",46,,"33,549",,,,,,
1965,"1,109,806","34,283",3.188,1.96,"1,034,268",,,"75,538",,"64,393",-5.63,,,"1,933,089","11,550",96,"24,158",46,201,"30,110",,,,,,
1966,"1,118,665","8,859",0.798,2,"1,058,675","24,407",2.36,"59,990","170,664,897","58,904",-8.52,18.99,"2,897","1,971,107","11,179",100,"24,910",45,,"50,045",,,,,,
1967,"1,160,604","41,939",3.749,2.04,"1,094,280","35,605",3.363,"66,324","183,995,180","74,981",27.29,15.48,"2,454","2,195,612","10,981",106,"25,206",46,,"33,042",,,,,,
1968,"1,221,504","60,900",5.247,2.06,"1,155,826","61,546",5.624,"65,678","208,666,762","82,842",10.48,14.74,"2,519","2,493,519","10,619",115,"25,409",48,,"21,942",,,,,,
1969,"1,336,112","114,608",9.383,2.07,"1,256,784","100,958",8.735,"79,328","239,769,076","120,905",45.95,11.05,"1,983","2,719,860","10,368",129,"25,694",52,,"6,297",,,,,,
1970,"1,483,430","147,318",11.026,2.05,"1,384,782","127,998",10.185,"98,648","267,581,120","164,193",35.8,9.03,"1,630","3,226,168","10,526",141,"26,524",56,208,"16,875",,,,,,
1971,"1,590,793","107,363",7.237,2.03,"1,510,245","125,463",9.06,"80,548","291,952,375","149,808",-8.76,10.62,"1,949","3,453,542","10,384",153,"27,154",59,,"42,445",,,,,,
1972,"1,658,990","68,197",4.287,2,"1,596,442","86,197",5.707,"62,548","291,894,945","163,123",8.89,10.17,"1,789","3,662,407","10,350",160,"28,407",58,,"94,926",,,,,,
1973,"1,758,429","99,439",5.994,1.97,"1,656,673","60,231",3.773,"101,756","300,468,676","193,990",18.92,9.06,"1,549","3,994,924","10,523",167,"31,850",55,,"94,551",,,,,,
1974,"2,021,432","263,003",14.957,1.94,"1,880,713","224,040",13.523,"140,719","371,132,570","297,872",53.55,6.79,"1,246","4,550,457","10,723",189,"34,576",58,,"34,869",,,,,,
1975,"2,179,256","157,824",7.808,1.9,"2,062,449","181,736",9.663,"116,807","382,296,208","295,073",-0.94,7.39,"1,296","4,925,643","10,550",207,"38,256",57,212,"137,249",,,,,,
1976,"2,248,390","69,134",3.172,1.85,"2,138,537","76,088",3.689,"109,853","359,258,019","196,656",-33.35,11.43,"1,827","4,972,571","10,187",221,"40,155",56,,"127,522",,,,,,
1977,"2,223,538","-24,852",-1.105,1.81,"2,117,194","-21,343",-0.998,"106,344","321,424,305","124,459",-36.71,17.87,"2,583","5,107,518","10,080",221,"41,635",53,,"149,311",,,,,,
1978,"2,182,341","-41,197",-1.853,1.77,"2,086,698","-30,496",-1.44,"95,643","307,272,262","95,052",-23.63,22.96,"3,233","5,095,831","9,762",224,"42,255",52,,"136,249",,,,,,
1979,"2,186,075","3,734",0.171,1.75,"2,097,070","10,372",0.497,"89,005","318,974,347","113,672",19.59,19.23,"2,806","5,323,766","9,727",225,"42,600",51,,"109,938",,,,,,
1980,"2,272,278","86,203",3.943,1.75,"2,175,403","78,333",3.735,"96,875","339,427,608","113,779",0.09,19.97,"2,983","5,726,656","9,564",238,"43,181",53,217,"27,576",,,,,,
1981,"2,361,896","89,618",3.944,1.75,"2,247,486","72,083",3.314,"114,410","358,581,547","119,836",5.32,19.71,"2,992","5,987,893","9,601",246,"43,870",54,,"30,218",,,,,,
1982,"2,477,608","115,712",4.899,1.76,"2,342,634","95,148",4.234,"134,974","384,856,662","138,540",15.61,17.88,"2,778","6,252,787","9,529",260,"44,953",55,,"22,828",,,,,,
1983,"2,652,323","174,715",7.052,1.76,"2,501,722","159,088",6.791,"150,601","436,720,991","161,896",16.86,16.38,"2,698","6,767,707","9,292",285,"46,235",57,,"-12,819",,,,,,
1984,"2,842,531","190,208",7.171,1.77,"2,680,274","178,552",7.137,"162,257","505,588,037","179,421",10.82,15.84,"2,818","7,416,974","9,081",313,"47,869",59,,"-10,787",,,,,,
1985,"3,024,131","181,600",6.389,1.79,"2,865,183","184,909",6.899,"158,948","590,540,205","189,800",5.78,15.93,"3,111","7,792,109","9,051",334,"49,716",61,222,"8,200",,,,,,
1986,"3,229,022","204,891",6.775,1.81,"3,063,289","198,106",6.914,"165,733","680,837,042","225,868",19,14.3,"3,014","8,160,597","8,927",362,"52,177",62,,"20,977",,,,,,
