Year End,Revenue - Receipted donations,Revenue - Non-receipted donations,Revenue - Gifts from other registered charities,Revenue - Other,Expenses - Charitable programs,Expenses - Management and administration,Expenses - Gifts to other registered charities and qualified donees,Expenses - Other,Total Revenue,Total Expenses,Cash and bank accounts and short term investments,Total Assets
2000,1434395,0,85642605,1985000,40529138,42907000,9448862,0,89062000,92885000,10586000,570483000
2001,392763,0,103046000,2154237,39007524,45376250,9459226,0,105593000,93843000,30059000,611508000
2003,104021000,0,0,1589000,85150282,16079055,8614427,0,105610000,109843764,24295000,675139000
2004,112365000,0,0,5775000,75588170,15552000,9778830,0,118140000,100919000,34174000,715645000
2005,1672737,0,122552263,6243000,90824989,15849011,10151567,0,130468000,116825567,85008000,796047000
2006,2939100,0,136596000,12004900,121845410,1715475,9874115,0,151540000,133435000,153287000,680919000
2007,2399856,0,142437144,14670000,124565610,1577,61079813,0,159507000,185647000,63747000,622663000
2008,3347726,0,143016082,15812004,137710382,380421,11234757,3709,162175812,149329269,61775852,647898852
2009,3122563,0,145582695,8611934,120630399,287728,52625118,0,157317192,173543245,70371298,717389719
2010,2815812,0,150973539,7602403,101545355,230179,115152906,0,161391754,216928440,90845894,691140110
2011,2590868,0,151848238,8191288,111555862,247321,112493900,0,162630394,224297083,60508215,682329077
2012,2063697,0,158451145,19689014,129542118,388659,56956370,0,180203856,186887147,55868462,685632232
2013,3395310,0,159548594,11212223,98045252,386473,52335500,0,174156127,150767225,91820948,710892004
2014,167145500,0,0,13250776,103813375,376142,87000000,0,180396276,191189517,89720965,700965698
2015,173082614,0,97308,20310834,104057916,454927,63378294,0,193490756,167891137,123809648,727467991
2016,167599042,100195,46728,8838760,109201598,388362,109875108,0,176584725,219465068,96857546,681577668
2017,173673143,0,137537,6284339,121664732,481668,78633871,0,180095019,200780271,90452764,660230239
2018,178017618,0,138148,8720932,111350996,468306,72986514,0,186876698,184805816,98856519,663900439
2019,177533188,0,140385,11877082,142223787,398381,76764363,0,189550655,219386531,85792291,636380406
2020,179299529,0,165245,5640200,107183786,433244,67968412,0,185104974,175585442,100332430,647026363
