End of Year,Total Membership,Children of Record,Baptisms of Children of Record,Convert Baptisms,Total Baptisms,Convert Children of Record,Births to Active Members,Mormon Birth Rate,Mormon Death Rate,Mormon Life Expectancy,Birth Rate (Fractional),Children per Woman,Female/Male Ratio,Stakes,Districts,Missions,Wards and Branches,Wards and Branches in Stakes,Branches,Wards,Branches in Stakes,Branches in Missions,Members in Stakes,Members in Missions,Members per Ward,Sunday School Attendance,Full Time Missionaries,New Missionaries,Average Mission Length (years),New Senior Missionaries,New Male Missionaries,New Female Missionaries,Total Senior Missionaries,Total Male Missionaries,Total Female Missionaries,15 Y/O,16 Y/O,17 Y/O,18 Y/O,19 Y/O,Seminary Enrollment,Activity by Births,Activity by Ward Size,Activity by Stake Size,Activity by Sunday School Attendance,Activity by Missionaries,Activity by Seminary Enrollment,Activity Rate,Gone Inactive,Active Mormons,Inactive Mormons,Deaths of Active Members,Inactives who reach Age 110,Record Adjustments,"Names Removed
Raw",Manual Corrections,Cumulative Corrections,Names Removed,Former Mormons
1830,280,40,0,274,274,32,8,57.6,50,39.5,1.0428,6.5,0.5,0,,0,4,0,0,0,0,0,,,,,,16,1.86,,,,,,,,,,,,,,,,,,,96.8,9,271,9,7,0,,,,,1,1
1831,680,74,13,398,411,46,28,58.4,50,39.5,1.0428,6.59,0.5,0,,0,6,0,0,0,0,0,,,,,,58,1.86,,,,,,,,,,,,,,,,,,,95.6,21,650,30,23,0,,,,,3,3
1832,"2,661",330,22,"1,974","1,996",231,99,59.2,50,39.5,1.0428,6.68,0.5,0,,0,33,0,0,0,0,0,,,,,,72,1.86,,,,,,,,,,,,,,,,,,,95.8,82,"2,550",111,80,0,,,,,12,14
1833,"3,140",227,64,455,519,53,174,60,50,39.5,1.0429,6.77,0.5,0,,0,40,0,0,0,0,0,,,,,,41,1.86,,,,,,,,,,,,,,,,,,,93.6,97,"2,938",202,136,0,,,,,14,27
1834,"4,372",368,59,"1,198","1,257",140,228,60.8,50,39.5,1.0429,6.86,0.5,2,,0,40,22,18,22,0,18,,,,,,111,1.86,,,,,,,,,,,,,,,,,,,92.5,136,"4,044",328,174,0,,,,,20,45
1835,"8,835",922,69,"4,404","4,473",515,407,61.6,50,39.5,1.0428,6.95,0.5,2,,0,48,22,26,22,0,26,,,,,,84,1.86,,,,,,,,,,,,,,,,,,,93.4,274,"8,249",586,308,0,,,,,40,82
1836,"13,293","1,198",119,"4,342","4,461",508,690,62.4,50,39.5,1.0427,7.04,0.5,2,,0,54,25,29,25,0,29,,,,,,80,1.86,,,,,,,,,,,,,,,,,,,92.7,412,"12,324",969,513,0,,,,,61,138
1837,"16,282","1,263",154,"2,802","2,956",328,935,63.2,50,39.5,1.0426,7.13,0.5,2,,1,67,25,42,25,0,42,,,,,123,52,1.86,,,,,,,,,,,,,,,,,,,91.2,505,"14,856","1,426",674,0,,,,,74,205
1838,"17,881","1,251",223,"1,350","1,573",158,"1,093",64,50,39.5,1.0426,7.22,0.5,2,,1,91,26,65,26,0,65,,,,,63,16,1.86,,,,,,,,,,,,,,,,,,,89.3,554,"15,972","1,909",763,0,,,,,81,275
1839,"16,460","1,195",262,703,965,82,"1,113",64.8,50,39.5,1.0425,7.31,0.5,3,,2,86,16,70,16,0,70,,,,,77,67,1.86,,,,,,,,,,,,,,,,,,,85.9,510,"14,136","2,324",737,0,,,,,"2,500","2,761"
