Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1993,100,0,3,3,3417000,0,0,0,0
1995,400,0,5,5,3358000,0,0,0,0
1997,500,0,6,6,3331000,0,0,1,0
1999,789,0,7,7,3318000,0,1,1,0
2000,881,0,7,7,3305000,0,1,1,0
2001,1001,0,8,8,3286000,0,1,1,0
2002,1160,0,8,8,3264000,0,1,1,0
2003,1285,0,9,9,3239000,0,1,1,0
2004,1400,0,9,9,3216000,0,1,1,0
2005,1498,0,9,9,3196000,0,1,1,0
2006,1605,0,10,10,3180000,0,1,1,0
2007,1730,0,10,10,3166000,0,1,1,0
2008,1838,0,10,10,3157000,0,1,1,0
2009,1925,0,11,11,3151000,0,1,1,0
2010,1984,0,11,11,3150000,0,1,1,0
2011,2093,0,11,11,3154000,0,1,1,0
2012,2299,0,11,11,3162000,0,1,1,0
2013,2477,0,11,11,3173000,0,1,1,0
2014,2660,6,5,11,3185000,1,0,1,0
2015,2799,6,5,11,3029278,1,0,1,0
2016,2888,6,6,12,3038594,1,0,1,0
2017,3006,6,7,13,3047987,1,0,1,0
2018,3086,6,8,14,3057220,1,0,1,0
2019,3216,6,8,14,3065900,1,0,1,0
2020,,6,8,14,,1,1,1,0
2021,3280,6,8,14,,1,1,1,0
