Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1983,3933,,,,36000,,,,,36413
1987,6900,16,5,21,42000,2,0,0,0,42741
1989,8700,17,4,21,46000,2,0,0,0,45894
1991,11000,17,4,21,48000,2,0,0,0,48682
1993,12000,19,4,23,51000,2,0,0,0,51025
1995,12000,24,3,27,53000,3,0,0,0,53158
1997,12000,30,4,34,55000,4,0,0,0,55227
1999,12833,29,5,34,57000,4,0,0,0,57049
2000,12901,29,5,34,58000,4,0,0,0,57816
2001,13109,29,5,34,58000,4,0,0,0,58496
2002,13406,29,5,34,59000,4,0,0,0,59077
2003,13663,29,6,35,59000,4,0,0,0,59495
2004,13967,29,6,35,59000,4,0,0,0,59684
2005,14252,30,5,35,59000,4,0,0,0,59557
2006,14246,30,5,35,59000,4,0,0,0,59109
2007,14514,30,6,36,58000,4,0,0,0,58367
2008,14740,30,6,36,57000,4,0,0,0,57490
2009,14784,31,6,37,56000,4,0,0,0,56675
2010,15159,31,6,37,56000,4,0,0,0,56084
2011,15411,31,6,37,55000,4,0,0,0,55755
2012,15629,31,5,36,55000,5,0,0,0,55669
2013,15727,31,7,38,55000,5,0,0,0,55717
2014,16621,33,7,40,55000,5,0,0,0,55791
2015,16149,34,7,41,54343,5,0,0,0,55806
2016,16180,35,6,41,54194,5,0,0,0,55739
2017,16339,37,5,42,51504,5,0,0,0,55617
2018,16390,38,5,43,50826,5,0,0,0,55461
2019,16490,38,5,43,50132,5,0,0,0,55312
2020,,38,5,43,,5,0,0,0,55197
2021,16512,38,5,43,,5,0,0,0,55103
