Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1997,500,0,1,1,12791000,0,0,0,0,14871572
1999,502,0,2,2,13511000,0,0,0,0,15866871
2000,510,0,2,2,13925000,0,0,0,0,16395476
2001,548,0,2,2,14385000,0,0,0,0,16945753
2002,563,0,2,2,14887000,0,0,0,0,17519418
2003,596,0,1,1,15421000,0,0,0,0,18121477
2004,621,0,1,1,15977000,0,0,0,0,18758138
2005,669,0,1,1,16544000,0,0,0,0,19433604
2006,703,0,1,1,17122000,0,0,0,0,20149905
2007,759,0,1,1,17713000,0,0,0,0,20905360
2008,647,0,1,1,18314000,0,0,0,0,21695636
2009,831,0,2,2,18927000,0,0,0,0,22514275
2010,932,0,3,3,19549000,0,0,0,0,23356247
2011,1046,0,5,5,20180000,0,1,0,0,24220660
2012,1257,0,5,5,20821000,0,1,0,0,25107925
2013,1436,0,8,8,21472000,0,1,1,0,26015786
2014,1684,0,8,8,22137000,0,1,1,0,26941773
2015,1908,0,7,7,19625353,0,1,1,0,27884380
2016,2123,0,11,11,20172332,0,2,1,0,28842482
2017,2458,0,12,12,29310273,0,2,1,0,29816769
2018,2933,6,9,15,30355880,1,0,1,0,30809787
2019,3490,6,9,15,31439110,1,0,1,0,31825299
2020,,7,10,17,,1,0,1,0,32866267
2021,4160,8,10,18,,1,1,1,0,33933611
