Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1940,518,,,,14591000,,,,,
1950,1031,,,,17150000,,,,,17037910
1960,3456,,,,20959000,,,,,20481781
1965,8929,,,,22294000,,,,,22159644
1967,12722,,,,22941000,,,,,22828872
1970,19454,,,,23979000,,,,,23880564
1971,19891,,,,24371000,,,,,24259564
1975,30020,,,,26079000,,,,,25865775
1977,39270,,,,26899000,,,,,26661397
1979,60972,,,,27712000,,,,,27471046
1981,78220,,,,28562000,,,,,28338514
1983,79212,,,,29448000,,,,,29262049
1985,103000,,,,30354000,,,,,30216284
1987,114000,148,199,347,31270000,26,13,5,1,31184411
1989,153000,149,328,477,32187000,26,30,6,1,32148137
1991,182000,147,392,539,33094000,27,42,9,1,33079002
1993,205000,194,431,625,33982000,34,54,10,1,33970103
1995,235000,271,426,697,34855000,46,47,10,1,34828168
1997,268000,376,430,806,35715000,62,40,10,1,35657438
1999,288865,389,412,801,36541000,64,37,10,1,36467218
2000,297976,393,399,792,36931000,64,36,10,1,36870796
2001,308365,406,389,795,37302000,65,36,10,1,37275644
2002,320038,415,389,804,37657000,66,36,10,1,37681743
2003,330349,426,395,821,38001000,67,36,10,1,38087866
2004,339929,442,391,833,38341000,70,37,10,1,38491970
2005,348396,451,398,849,38681000,70,38,10,1,38892924
2006,355987,458,391,849,39024000,70,39,10,1,39289876
2007,363990,467,396,863,39368000,70,39,10,1,39684303
2008,371885,469,386,855,39714000,70,38,10,2,40080159
2009,380669,473,380,853,40062000,70,38,10,2,40482786
2010,389393,481,360,841,40412000,70,37,10,2,40895751
2011,399440,480,343,823,40765000,71,35,10,2,41320497
2012,412095,489,326,815,41119000,72,35,10,2,41755188
2013,421971,483,309,792,41474000,72,33,12,2,42196034
2014,432007,469,296,765,41803000,73,32,12,2,42637508
2015,438056,476,291,767,43431886,74,30,14,2,43075416
2016,445108,486,283,769,43886748,76,28,14,2,43508459
2017,452309,488,275,763,44293293,76,28,14,2,43937143
2018,460764,490,261,751,44694198,77,29,14,4,44361150
2019,470843,484,250,734,45086658,78,27,13,4,44780675
2020,,484,246,730,,78,27,13,2,45195777
2021,474399,484,241,725,,78,27,13,2,45605823
