Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1900,300,,,,3765339,,,,,
1930,1242,,,,6526485,,,,,
1940,1894,,,,7109898,,,,,
1950,2089,,,,8421775,,,,,8177348
1960,7071,,,,10495000,,,,,10242070
1965,16136,,,,11368000,,,,,11313186
1967,20742,,,,11976000,,,,,11899644
1970,25063,,,,12905000,,,,,12793030
1971,26277,,,,13151000,,,,,13033130
1975,31491,,,,13893000,,,,,13773290
1977,33969,,,,14212000,,,,,14092545
1979,37537,,,,14532000,,,,,14413002
1981,41423,,,,14898000,,,,,14777241
1983,43466,,,,15138000,,,,,15194644
1985,60800,,,,15971000,,,,,15663672
1987,66000,112,86,198,16316000,18,14,5,1,16183159
1989,73000,113,92,205,16851000,18,13,5,1,16713989
1991,78000,117,93,210,17322000,18,13,5,1,17189235
1993,82000,118,104,222,17725000,18,16,6,1,17603211
1995,87000,146,101,247,18124000,25,14,6,1,17993083
1997,96000,178,104,282,18563000,28,12,6,1,18387205
1999,99121,177,108,285,19027000,31,12,7,5,18788187
2000,103370,178,105,283,19259000,31,11,7,5,18991434
2001,102773,184,99,283,19487000,31,11,7,5,19194676
2002,105087,184,101,285,19715000,32,11,7,5,19401366
2003,106930,185,101,286,19953000,32,11,7,5,19624163
2004,108851,187,93,280,20218000,32,11,7,5,19879654
2005,111098,190,95,285,20521000,32,11,7,5,20178543
2006,116925,191,96,287,20866000,32,11,7,5,20526300
2007,119975,195,93,288,21246000,33,11,7,5,20916339
2008,123650,194,90,284,21645000,33,10,7,5,21332293
2009,126767,200,84,284,22037000,33,10,7,5,21750852
2010,129744,203,81,284,22404000,33,9,5,5,22154687
2011,132392,204,81,285,22741000,32,9,5,5,22538002
2012,136617,208,82,290,23050000,34,9,5,5,22903951
2013,140797,216,80,296,23343000,37,9,6,5,23254912
2014,143891,220,83,303,23630000,37,9,6,5,23596426
2015,146443,225,84,309,23968970,38,8,6,5,23932499
2016,148862,227,85,312,22992654,40,8,6,5,24262710
2017,151049,227,82,309,23231399,40,8,6,5,24584619
2018,152948,224,79,303,23470145,41,8,5,5,24898153
2019,154595,232,76,308,24468302,42,7,5,5,25203200
2020,,232,74,306,,42,7,5,5,25499881
2021,155383,235,74,309,,42,7,5,5,25788217
