Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1983,452,,,,156000,,,,,155820
1985,680,,,,165000,,,,,164918
1987,900,0,5,5,174000,0,1,0,0,174333
1989,1300,0,5,5,183000,0,1,0,0,183471
1991,1200,0,10,10,191000,0,3,0,0,191136
1993,1400,0,8,8,198000,0,3,0,0,197625
1995,1800,0,10,10,207000,0,3,0,0,206962
1997,2300,0,13,13,218000,0,3,0,0,221575
1999,2605,0,16,16,232000,0,3,0,0,238979
2000,2701,0,14,14,239000,0,3,0,0,247310
2001,2790,0,14,14,245000,0,3,0,0,255068
2002,2837,0,14,14,252000,0,3,0,0,262387
2003,2827,0,13,13,258000,0,3,0,0,269428
2004,2933,0,13,13,265000,0,3,0,0,276516
2005,3079,0,13,13,272000,0,3,0,0,283798
2006,3187,0,13,13,279000,0,3,0,0,291338
2007,3306,0,12,12,286000,0,3,0,0,299031
2008,3430,0,12,12,294000,0,2,0,0,306822
2009,3609,0,11,11,301000,0,2,0,0,314655
2010,3852,0,11,11,309000,0,2,0,0,322465
2011,4018,0,11,11,329190,0,2,0,0,330236
2012,4240,0,11,11,336710,0,2,0,0,338001
2013,4502,0,11,11,344190,0,2,0,0,345707
2014,4807,0,11,11,351710,0,2,0,0,353366
2015,5152,0,11,11,359290,0,2,0,0,360926
2016,5332,0,11,11,353858,0,2,0,0,368399
2017,5374,0,12,12,360346,0,2,0,0,375775
2018,5429,0,12,12,385854,0,2,0,0,383071
2019,5485,0,12,12,392726,0,2,0,0,390351
2020,,0,12,12,,0,2,0,0,397621
2021,5519,0,12,12,,0,2,0,0,404915
