Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1991,300,0,2,2,8743000,0,1,1,0,8767000
1993,700,0,10,10,8550000,0,1,1,0,8576042
1995,700,0,9,9,8357000,0,2,1,0,8379305
1997,1100,0,12,12,8198000,0,1,1,0,8211804
1999,1367,0,12,12,8067000,0,1,1,0,8067005
2000,1587,0,14,14,8006000,0,2,1,0,7997951
2001,1765,0,16,16,7948000,0,2,1,0,7930700
2002,1927,0,19,19,7893000,0,2,1,0,7866242
2003,1998,0,19,19,7840000,0,2,1,0,7804306
2004,2022,0,19,19,7789000,0,2,1,0,7744630
2005,2084,0,19,19,7739000,0,2,1,0,7686964
2006,2115,0,21,21,7623000,0,2,1,0,7631020
2007,2142,0,21,21,7563000,0,2,1,0,7576675
2008,2124,0,20,20,7504000,0,2,1,0,7524084
2009,2151,0,20,20,7446000,0,2,1,0,7473509
2010,2206,0,13,13,7389000,0,2,1,0,7425011
2011,2251,0,10,10,7333000,0,0,1,0,7378652
2012,2296,0,10,10,7278000,0,0,1,0,7334007
2013,2402,0,9,9,7223000,0,0,1,0,7290092
2014,2392,0,9,9,7168000,0,0,1,0,7245648
2015,2424,0,9,9,7186893,0,0,1,0,7199739
2016,2429,0,9,9,7144653,0,0,1,0,7151948
2017,2418,0,9,9,7101510,0,0,1,0,7102452
2018,2444,0,7,7,7057504,0,0,1,0,7051610
2019,2440,0,7,7,7012202,0,0,1,0,7000117
2020,,0,7,7,,0,0,1,0,6948445
2021,2395,0,7,7,,0,0,1,0,6896655
