Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1995,200,0,3,3,10769000,0,1,0,0
1997,600,0,4,4,11396000,0,1,1,0
1999,1018,0,5,5,11960000,0,1,1,0
2000,2136,0,11,11,12223000,0,1,1,0
2001,3491,0,12,12,12473000,0,1,1,0
2002,5072,0,14,14,12709000,0,2,1,0
2003,6089,0,16,16,12934000,0,3,1,0
2004,6865,0,20,20,13149000,0,3,1,0
2005,7465,0,20,20,13356000,0,4,1,0
2006,7874,0,20,20,13555000,0,4,1,0
2007,8188,0,22,22,13747000,0,4,1,0
2008,8359,0,22,22,13941000,0,4,1,0
2009,8908,0,24,24,14144000,0,4,1,0
2010,10530,0,24,24,14365000,0,5,1,0
2011,10999,0,26,26,14606000,0,5,1,0
2012,11469,0,27,27,14865000,0,6,1,0
2013,12223,0,28,28,15078560,0,6,1,0
2014,12882,10,20,30,15328140,2,4,1,0
2015,13349,10,20,30,15708756,2,5,1,0
2016,13716,10,20,30,15957223,2,5,1,0
2017,14256,10,19,29,16204486,2,4,1,0
2018,14725,10,19,29,16449519,2,4,1,1
2019,15187,10,18,28,16688252,2,4,1,1
2020,,10,18,28,,2,4,1,0
2021,,10,18,28,,2,4,1,0
