Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1991,200,0,1,1,360000,0,0,0,0,346229
1993,2000,0,13,13,379000,0,3,0,0,366057
1995,3000,0,17,17,399000,0,3,0,0,386288
1997,3500,0,18,18,418000,0,3,0,0,404248
1999,3893,0,19,19,434000,0,3,0,0,420456
2000,4167,0,18,18,442000,0,3,0,0,428178
2001,4964,0,18,18,451000,0,3,0,0,435701
2002,5759,0,18,18,459000,0,3,1,0,442955
2003,5975,0,18,18,467000,0,3,1,0,449925
2004,6202,0,18,18,474000,0,3,1,0,456619
2005,6312,0,18,18,479000,0,3,1,0,463034
2006,6501,0,18,18,482000,0,3,1,0,469171
2007,6709,0,18,18,484000,0,3,1,0,475067
2008,6905,0,18,18,485000,0,3,1,0,480846
2009,7149,0,19,19,486000,0,3,1,0,486667
2010,7456,0,18,18,488000,0,3,1,0,492644
2011,8029,0,18,18,491000,0,3,1,0,498858
2012,9326,6,17,23,494000,1,2,1,0,505241
2013,10796,14,17,31,499000,2,1,1,0,511740
2014,11898,25,11,36,504000,3,1,1,0,518275
2015,12786,22,16,38,520502,3,2,1,0,524740
2016,13504,22,20,42,526993,3,2,1,0,531140
2017,14205,24,18,42,560899,3,2,1,0,537499
2018,14967,24,18,42,568373,3,2,1,1,543764
2019,15780,24,18,42,575814,3,2,1,1,549936
2020,,24,18,42,,3,2,1,0,555988
2021,16334,27,14,41,,4,1,1,0,561901
