Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1959,450,,,,,,,,
1960,614,,,,7846000,,,,
1965,6055,,,,8654000,,,,
1967,9594,,,,9036000,,,,
1970,9416,,,,9579000,,,,
1971,15828,,,,9755000,,,,
1972,20000,,,,9926000,,,,
1975,24249,8,43,51,10419000,,,,
1977,37343,34,53,87,10720000,4,7,4,0
1979,63658,,,,11019000,,,,
1981,96181,,,,11348000,,,,
1983,133078,,,,11714000,,,,
1985,169000,,,,12107000,,,,
1987,196000,293,251,544,12519000,48,18,5,1
1989,266000,312,258,570,12956000,51,16,6,1
1991,315000,321,258,579,13429000,51,19,6,1
1993,345000,391,246,637,13929000,67,16,6,1
1995,394000,516,265,781,14409000,89,14,7,1
1997,462000,723,225,948,14840000,111,9,8,1
1999,502153,744,207,951,15232000,116,9,8,1
2000,509592,706,174,880,15420000,115,9,8,1
2001,520202,682,168,850,15604000,112,10,8,1
2002,527972,519,194,713,15784000,87,22,8,1
2003,530739,444,186,630,15960000,75,24,9,1
2004,534754,436,183,619,16132000,75,24,9,1
2005,539193,424,183,607,16302000,74,25,9,1
2006,543628,420,192,612,16469000,74,25,9,1
2007,548743,419,195,614,16633000,74,24,9,1
2008,554749,419,192,611,16796000,74,24,9,1
2009,561920,420,194,614,16956000,74,24,9,2
2010,563689,421,199,620,17151000,74,23,9,2
2011,570833,421,199,620,17308000,74,23,9,2
2012,577716,425,197,622,17465000,74,23,9,2
2013,583359,421,193,614,17620000,74,23,10,2
2014,579235,421,183,604,17773000,75,21,10,2
2015,581155,433,173,606,17508260,77,18,10,2
2016,585887,433,169,602,17650114,77,17,10,2
2017,590124,433,168,601,17789267,77,16,10,2
2018,595526,430,160,590,17925262,77,16,10,2
2019,602373,410,158,568,18056016,74,16,10,3
2020,,408,158,566,,,,,
2021,,408,160,568,,,,,
