Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1960,214,,,,1382000,,,,,1330787
1965,714,,,,1583000,,,,,1592834
1967,2452,,,,1681000,,,,,1696742
1970,1698,,,,1820000,,,,,1847394
1971,2164,,,,1867000,,,,,1896074
1975,3145,,,,2049000,,,,,2094186
1977,3874,,,,2158000,,,,,2205618
1979,4523,,,,2279000,,,,,2326460
1981,4662,,,,2409000,,,,,2455593
1983,5390,,,,2548000,,,,,2593015
1985,7100,,,,2692000,,,,,2736719
1987,8900,12,19,31,2841000,2,2,1,0,2884856
1989,13000,12,39,51,2993000,2,4,1,0,3039015
1991,19000,20,40,60,3147000,4,5,1,0,3202083
1993,22000,20,42,62,3303000,4,6,1,0,3372298
1995,25000,23,45,68,3469000,4,6,1,0,3545524
1997,28000,26,46,72,3648000,4,7,1,0,3718952
1999,30118,35,43,78,3832000,5,6,1,0,3885428
2000,31127,37,41,78,3919000,5,6,1,0,3962369
2001,32013,39,40,79,4003000,5,6,1,0,4034074
2002,32563,39,37,76,4083000,5,6,1,1,4100921
2003,32790,39,35,74,4160000,5,6,1,1,4164053
2004,33489,39,35,74,4236000,5,6,1,1,4225156
2005,34036,42,33,75,4309000,5,6,1,1,4285504
2006,34777,42,34,76,4382000,5,6,1,1,4345421
2007,35647,43,33,76,4369470,5,6,1,1,4404626
2008,36666,44,32,76,4429510,5,6,1,1,4463123
2009,36823,44,33,77,4488260,5,5,1,1,4520739
2010,38337,44,33,77,4545270,5,5,1,1,4577371
2011,39861,42,33,75,4600490,5,5,1,1,4633086
2012,41353,40,33,73,4654150,5,5,1,1,4688003
2013,42943,43,30,73,4706430,6,4,1,1,4742111
2014,44627,45,29,74,4757610,6,4,1,1,4795390
2015,46116,52,22,74,4807850,9,2,2,1,4847805
2016,47474,52,23,75,4872543,9,2,2,1,4899336
2017,48841,59,21,80,4930258,10,2,2,1,4949955
2018,50282,59,20,79,4987142,10,2,2,1,4999443
2019,51320,59,20,79,5042565,10,1,2,1,5047561
2020,,59,20,79,,10,1,2,1,5094114
2021,52047,59,19,78,,10,1,2,1,5139053
