Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1989,99,0,0,0,,0,1,0,0,10335875
1991,600,0,9,9,,0,2,1,0,10346458
1993,1000,0,13,13,10320000,0,2,1,0,10358694
1995,1200,0,18,18,10319000,0,4,1,0,10358190
1997,1500,0,20,20,10296000,0,4,1,0,10338346
1999,1654,0,19,19,10260000,0,4,1,0,10306404
2000,1680,0,17,17,10243000,0,2,1,0,10289374
2001,1732,0,16,16,10226000,0,2,1,0,10271019
2002,1821,0,14,14,10210000,0,2,1,0,10252264
2003,1877,0,14,14,10199000,0,2,1,0,10239131
2004,1934,0,14,14,10202000,0,2,1,0,10239444
2005,1981,0,14,14,10221000,0,2,1,0,10258165
2006,2024,0,14,14,10259000,0,2,1,0,10298609
2007,2028,0,14,14,10338000,0,2,1,0,10357535
2008,2089,0,14,14,10412000,0,2,1,0,10425267
2009,2198,0,14,14,10486000,0,2,1,0,10488155
2010,2282,0,14,14,10554000,0,2,1,0,10536514
2011,2312,0,14,14,10611000,0,2,1,0,10566512
2012,2369,0,13,13,10660000,0,2,1,0,10581302
2013,2396,0,13,13,10702000,0,2,1,0,10586529
2014,2455,0,13,13,10740000,0,2,1,0,10591104
2015,2503,0,13,13,10644842,0,2,1,0,10601390
2016,2549,7,5,12,10644842,1,0,1,0,10618868
2017,2596,7,5,12,10674723,1,0,1,0,10641032
2018,2627,7,5,12,10686269,1,0,1,0,10665679
2019,2636,7,5,12,10694384,1,0,1,0,10689213
2020,,7,5,12,,1,0,1,0,10708982
2021,2628,7,5,12,,1,0,1,0,10724553
