Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1857,2317,,,,1557792,,,,,
1930,1408,,,,3550656,,,,,
1940,1521,,,,3844312,,,,,
1950,1933,,,,4281275,,,,,4268281
1960,2192,,,,4614000,,,,,4581099
1965,3592,,,,4760000,,,,,4760461
1967,3996,,,,4831000,,,,,4831750
1970,4246,,,,4930000,,,,,4931239
1971,4193,,,,4960000,,,,,4961759
1975,4260,,,,5060000,,,,,5062731
1977,4061,,,,5095000,,,,,5097049
1979,4486,,,,5118000,,,,,5118711
1981,4067,,,,5125000,,,,,5125296
1983,4097,,,,5119000,,,,,5119607
1985,4200,,,,5114000,,,,,5114250
1987,4300,12,10,22,5117000,2,0,1,0,5117282
1989,4300,12,10,22,5130000,2,0,1,0,5130362
1991,4300,12,11,23,5155000,2,0,1,0,5154906
1993,4400,12,11,23,5191000,2,0,1,0,5190745
1995,4700,13,11,24,5233000,2,0,1,0,5232709
1997,4600,13,11,24,5278000,2,0,1,0,5277713
1999,4527,14,11,25,5320000,2,0,1,1,5321771
2000,4519,14,11,25,5340000,2,0,1,1,5341192
2001,4465,14,11,25,5356000,2,0,1,1,5358059
2002,4457,12,10,22,5371000,2,0,1,1,5372798
2003,4476,12,11,23,5384000,2,0,1,1,5386968
2004,4427,12,12,24,5400000,2,0,1,1,5402754
2005,4336,13,10,23,5419000,2,0,1,1,5421701
2006,4338,13,10,23,5443000,2,0,1,1,5444293
2007,4343,13,10,23,5469000,2,0,1,1,5469920
2008,4362,13,10,23,5497000,2,0,1,1,5497731
2009,4387,13,10,23,5525000,2,0,1,1,5526389
2010,4378,13,10,23,5550000,2,0,1,1,5554849
2011,4388,13,10,23,5575000,2,0,1,1,5582980
2012,4376,13,10,23,5598000,2,0,1,1,5610909
2013,4355,13,10,23,5624290,2,0,1,1,5638152
2014,4408,13,10,23,5646900,2,0,1,1,5664199
2015,4410,13,10,23,5669080,2,0,1,1,5688695
2016,4430,13,9,22,5593785,2,0,1,1,5711346
2017,4454,13,9,22,5605948,2,0,1,1,5732277
2018,4458,13,9,22,5809502,2,0,1,1,5752131
2019,4466,13,9,22,5839456,2,0,1,1,5771877
2020,,13,9,22,,2,0,1,1,5792203
2021,4417,13,9,22,,2,0,1,1,5813302
