Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1981,2500,,,,5928000,,,,,5935895
1983,6415,0,23,23,6203000,0,2,1,0,6199657
1987,15000,5,55,60,6765000,1,7,2,0,6729930
1989,19000,18,52,70,7050000,3,6,2,0,6997877
1991,38000,33,52,85,7340000,5,6,3,0,7270413
1993,47000,43,82,125,7631000,7,9,3,1,7546467
1995,54000,42,99,141,7916000,8,11,3,1,7819239
1997,62000,55,112,167,8191000,10,13,3,1,8084407
1999,69466,60,111,171,8458000,11,11,3,1,8343288
2000,73280,61,107,168,8592000,11,11,3,1,8471317
2001,78498,63,109,172,8726000,11,11,3,1,8598599
2002,84754,69,105,174,8861000,11,11,3,1,8724974
2003,88123,78,105,183,8995000,12,11,3,1,8850317
2004,93403,82,98,180,9207000,12,11,3,1,8974444
2005,98268,102,81,183,9343000,15,7,3,1,9097262
2006,102144,110,78,188,9479000,16,7,3,1,9218681
2007,106243,115,79,194,9615000,16,8,3,1,9338856
2008,110036,117,80,197,9750000,19,8,3,1,9458079
2009,114571,115,85,200,9884000,18,11,3,1,9576736
2010,118557,118,83,201,10017000,18,10,3,1,9695117
2011,122024,121,79,200,10148000,19,9,3,1,9813219
2012,124435,120,82,202,10277000,19,9,3,1,9930916
2013,126413,124,81,205,10281410,19,9,3,1,10048226
2014,127530,123,82,205,10405940,20,9,3,1,10165182
2015,129017,123,76,199,10478756,20,9,3,1,10281675
2016,131907,124,70,194,10606865,20,9,3,1,10397738
2017,134743,126,69,195,10734247,20,9,3,1,10513111
2018,138539,129,66,195,10298756,20,9,3,1,10627147
2019,143870,130,66,196,10399232,21,9,3,1,10738957
2020,,136,65,201,,21,9,3,1,10847904
2021,145397,139,62,201,,21,9,3,1,10953714
