Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1960,311,,,,2859000,,,,,2766319
1965,3132,,,,3244000,,,,,3201310
1967,5525,,,,3440000,,,,,3387384
1970,9961,,,,3736000,,,,,3673066
1971,12061,,,,3836000,,,,,3770060
1975,12006,,,,4231000,,,,,4154689
1977,13924,,,,4412000,,,,,4338451
1979,15259,,,,4579000,,,,,4511127
1981,13348,,,,4729000,,,,,4666361
1983,13505,,,,4866000,,,,,4804936
1985,15100,,,,4996000,,,,,4936803
1987,24000,41,26,67,5124000,6,0,1,0,5067531
1989,32000,48,29,77,5259000,6,0,1,0,5200608
1991,41000,54,51,105,5413000,10,0,2,0,5342190
1993,50000,56,56,112,5584000,10,1,2,0,5490478
1995,64000,71,49,120,5733000,13,2,2,0,5628602
1997,77000,88,48,136,5839000,16,2,2,0,5746288
1999,84683,96,56,152,5911000,16,2,2,0,5844834
2000,86758,96,57,153,5940000,16,2,2,0,5887930
2001,89383,98,57,155,5966000,16,2,2,0,5927001
2002,90926,98,57,155,5988000,16,2,2,0,5962139
2003,91982,98,56,154,5900930,16,2,2,0,5994075
2004,93246,97,56,153,5925090,16,2,2,0,6023801
2005,94296,97,55,152,5947210,16,2,2,0,6052124
2006,95931,102,53,155,5967560,16,2,2,0,6079395
2007,98575,105,51,156,5986410,16,2,2,1,6105810
2008,102043,110,51,161,6004200,16,2,2,1,6131767
2009,105501,114,47,161,6021370,17,2,2,1,6157678
2010,109118,115,46,161,6038310,17,2,2,1,6183877
2011,111969,121,41,162,6055210,18,2,2,1,6210567
2012,114674,123,39,162,6072230,18,2,2,1,6237922
2013,117234,123,41,164,6089640,18,2,3,1,6266076
2014,120317,124,40,164,6107710,18,2,3,1,6295124
2015,122799,126,37,163,6126580,19,1,3,1,6325121
2016,124650,128,36,164,6156670,19,1,3,1,6356137
2017,125936,133,31,164,6172011,22,0,3,1,6388124
2018,127573,134,29,163,6187271,22,0,3,1,6420740
2019,128881,129,29,158,6334187,22,0,3,1,6453550
2020,,129,29,158,,22,0,3,1,6486201
2021,129194,129,29,158,,22,0,3,1,6518500
