Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1983,838,,,,80667,,,,,80630
1985,1600,,,,85682,,,,,85641
1987,1700,0,16,16,90020,0,,0,0,89985
1989,1900,0,19,19,94091,0,4,0,0,94062
1991,1900,0,20,20,99000,0,5,0,0,98779
1993,2400,0,20,20,104000,0,5,0,0,103901
1995,3000,0,23,23,108000,0,5,0,0,107535
1997,3100,0,18,18,109000,0,4,0,0,108473
1999,3008,0,18,18,108000,0,4,0,0,107769
2000,3110,0,18,18,107000,0,4,0,0,107405
2001,3222,0,17,17,107000,0,4,0,0,107170
2002,3341,0,17,17,107000,0,4,0,0,107027
2003,3419,0,17,17,107000,0,4,0,0,106902
2004,3430,0,19,19,107000,0,4,0,0,106624
2005,3504,0,19,19,106000,0,4,0,0,106135
2006,3624,0,19,19,106000,0,4,0,0,105374
2007,3754,0,19,19,105000,0,4,0,0,104442
2008,3841,0,20,20,104000,0,4,0,0,103549
2009,3989,0,20,20,104000,0,4,0,0,102971
2010,4193,0,20,20,104000,0,4,0,0,102916
2011,4302,0,21,21,103000,0,4,0,0,103448
2012,4565,0,21,21,103000,0,4,0,0,104506
2013,4998,0,21,21,104000,0,4,0,0,105922
2014,5643,5,16,21,104000,1,3,0,0,107444
2015,5732,5,17,22,105216,1,3,0,0,108886
2016,5987,5,17,22,104719,1,3,0,0,110215
2017,6217,5,17,22,104196,1,3,0,0,111461
2018,6238,5,17,22,103643,1,2,0,0,112640
2019,6307,5,19,24,103040,1,2,0,0,113811
2020,,6,18,24,,1,2,0,0,115021
2021,6107,6,17,23,,1,2,0,0,116255
