Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1973,1500,,,,554000,,,,,554143
1975,2808,,,,577000,,,,,576626
1977,2827,,,,598000,,,,,598299
1979,4117,,,,622000,,,,,621584
1981,3351,,,,651000,,,,,651032
1983,2722,,,,685000,,,,,685497
1985,3700,,,,712000,,,,,711770
1987,4000,9,7,16,722000,1,0,1,0,721776
1989,6700,9,10,19,724000,1,2,1,0,724602
1991,8700,9,11,20,735000,1,2,1,0,735398
1993,9500,5,20,25,755000,1,2,1,0,754962
1995,11000,14,20,34,776000,2,2,1,0,775428
1997,12000,23,14,37,793000,4,2,1,0,792736
1999,11998,23,18,41,807000,4,2,1,1,806302
2000,12163,23,19,42,812000,4,2,1,1,811011
2001,12672,23,19,42,815000,4,2,1,1,813923
2002,13228,23,20,43,816000,4,2,1,1,815257
2003,13563,23,21,44,817000,4,2,1,1,816078
2004,13900,23,22,45,819000,4,2,1,1,817864
2005,14120,23,21,44,823000,4,2,1,1,821606
2006,14448,23,21,44,828000,4,2,1,1,827869
2007,14866,25,19,44,835000,4,2,1,1,836185
2008,15242,25,19,44,844000,4,2,1,1,845356
2009,15613,25,20,45,852000,4,1,1,1,853636
2010,15897,25,21,46,861000,4,1,1,1,859816
2011,16271,26,20,46,868000,4,1,1,1,863451
2012,16951,27,21,48,875000,4,1,1,1,865065
2013,17730,28,22,50,881000,4,1,1,1,865602
2014,18340,28,22,50,887000,4,1,1,1,866447
2015,18912,28,20,48,909389,4,1,1,1,868632
2016,19737,28,21,49,915303,4,1,1,1,872406
2017,20510,27,23,50,920938,4,3,1,1,877460
2018,21277,27,23,50,926276,4,3,1,1,883490
2019,22154,27,24,51,931125,4,3,1,1,889955
2020,,27,25,52,,4,3,1,1,896444
2021,22827,27,26,53,,4,3,1,1,902899
