Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1947,129,,,,3859000,,,,,
1950,204,,,,4009000,,,,,4008292
1960,1297,,,,4463000,,,,,4434593
1965,2554,,,,4565000,,,,,4568604
1967,2727,,,,4584000,,,,,4588660
1970,2935,,,,4607000,,,,,4612365
1971,3009,,,,4623000,,,,,4629371
1975,3380,,,,4711000,,,,,4718744
1977,3642,,,,4739000,,,,,4746929
1979,4214,,,,4763000,,,,,4771341
1981,3786,,,,4801000,,,,,4809807
1983,3792,,,,4853000,2,3,1,0,4862171
1985,4000,,,,4902000,,,,,4911220
1987,4100,10,18,28,4937000,2,3,1,0,4946368
1989,4200,11,19,30,4968000,2,3,1,0,4977118
1991,4300,11,18,29,5009000,2,3,1,0,5019134
1993,4400,11,17,28,5061000,2,3,1,0,5071782
1995,4400,11,18,29,5108000,2,3,1,0,5119012
1997,4400,13,17,30,5139000,2,3,1,0,5151740
1999,4403,13,17,30,5162000,2,3,1,0,5175921
2000,4455,13,18,31,5173000,2,3,1,1,5187953
2001,4476,14,17,31,5185000,2,3,1,1,5200475
2002,4497,14,17,31,5197000,2,3,1,1,5213368
2003,4496,15,17,32,5211000,2,3,1,1,5227106
2004,4496,15,17,32,5226000,2,3,1,1,5242175
2005,4500,15,16,31,5244000,2,3,1,1,5258933
2006,4518,15,15,30,5266000,2,2,1,1,5277490
2007,4533,15,15,30,5290000,2,2,1,1,5297741
2008,4548,15,15,30,5316000,2,2,1,1,5319452
2009,4578,15,15,30,5342000,2,2,1,1,5342266
2010,4629,15,15,30,5365000,2,2,1,1,5365784
2011,4715,15,15,30,5389000,2,2,1,1,5390036
2012,4745,15,15,30,5424640,2,2,1,1,5414769
2013,4866,15,15,30,5453060,2,2,1,1,5438984
2014,4902,15,15,30,5479660,2,2,1,1,5461410
2015,4961,15,15,30,5503460,2,2,1,1,5481128
2016,4960,15,15,30,5498211,2,2,1,1,5497714
2017,4901,15,15,30,5518371,2,2,1,1,5511372
2018,4880,15,15,30,5537364,2,2,1,1,5522585
2019,4885,15,16,31,5554515,2,2,1,1,5532159
2020,,15,16,31,,2,3,1,1,5540718
2021,4796,18,11,29,,3,0,1,1,5548361
