Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1930,645,,,,41340000,,,,,
1940,600,,,,40690000,,,,,
1950,829,,,,41829000,,,,,41833873
1960,1509,,,,46320000,,,,,45673147
1965,6693,,,,48874000,,,,,48746653
1967,6399,,,,49705000,,,,,49651080
1970,8606,,,,50704000,,,,,50763921
1971,8190,,,,51113000,,,,,51162569
1974,9853,,65,65,52359000,0,11,1,0,52356793
1975,10428,,,,52692000,,,,,52688575
1977,10950,,,,53215000,,,,,53208549
1979,11198,,,,53647000,,,,,53637073
1981,13179,,,,54136000,,,,,54121009
1983,13498,,,,54696000,,,,,54675370
1985,16500,,,,55281000,,,,,55254838
1987,18100,19,73,92,55871000,4,8,2,0,55837622
1989,21000,24,73,97,56444000,4,7,3,0,56404303
1991,24000,26,74,100,56956000,5,6,4,0,56913580
1993,25000,34,72,106,57412000,7,6,4,0,57370375
1995,28000,35,88,123,57845000,7,7,4,0,57801887
1997,30000,39,85,124,58270000,7,7,4,0,58220657
1999,30541,44,84,128,58752000,7,7,4,0,58704381
2000,30912,43,82,125,59213000,7,5,4,0,59015092
2001,31226,43,82,125,59601000,7,5,2,0,59384126
2002,31971,50,75,125,60048000,8,4,2,0,59803434
2003,32353,57,67,124,60528000,9,2,2,0,60251591
2004,32780,60,65,125,61003000,9,2,2,0,60697977
2005,33200,60,66,126,61445000,9,2,2,0,61120128
2006,33828,61,63,124,61845000,9,2,2,0,61508924
2007,34638,59,58,117,62211000,9,2,2,0,61869229
2008,34906,58,55,113,62553000,9,2,2,0,62209207
2009,35427,57,54,111,62888000,9,2,2,0,62542883
2010,35960,57,54,111,63231000,9,2,2,0,62879535
2011,36403,60,49,109,63582000,9,1,2,1,63222229
2012,36968,60,48,108,63937000,9,1,2,1,63564224
2013,37364,62,45,107,63844530,10,0,2,1,63893521
2014,37812,63,44,107,64121250,10,0,2,1,64193550
2015,37996,64,44,108,64395350,10,0,2,1,64453194
2016,38383,65,43,108,64668129,10,0,2,1,64667590
2017,39029,66,43,109,64979580,10,0,2,1,64842513
2018,39473,68,41,109,65233271,10,0,2,1,64990512
2019,39930,68,40,108,66540714,10,0,2,1,65129731
2020,,68,45,113,,10,2,2,1,65273512
2021,38200,68,45,113,,10,2,2,1,65426177
