Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1930,11828,,,,65130000,,,,,
1940,13481,,,,69838000,,,,,
1950,15350,,,,68374000,,,,,69966252
1960,16656,,,,73900000,,,,,73414229
1965,20643,,,,76655000,,,,,76258034
1967,20810,,,,77910000,,,,,77357251
1970,22247,,,,79287000,,,,,78578381
1971,21161,,,,79543000,,,,,78789931
1973,20000,,,130,79757000,,,,,78932455
1975,24936,,,,79719000,,,,,78856031
1977,25943,,,,79550000,,,,,78687323
1979,28496,,,,79301000,,,,,78438171
1981,26177,,,,79039000,,,,,78107860
1983,27506,,,,78841000,,,,,77770210
1985,29900,,,,78896000,,,,,77691591
1987,36600,92,82,174,79299000,16,1,3,2,78015742
1989,36100,93,83,176,80022000,16,1,4,2,78660301
1991,39000,89,86,175,81026000,16,1,6,2,79490831
1993,36000,85,92,177,82225000,15,1,6,2,80428557
1995,36000,88,88,176,83148000,14,1,6,2,81138653
1997,36000,90,93,183,83491000,14,1,6,2,81399250
1999,36303,91,97,188,83491000,14,1,6,2,81389935
2000,36359,91,98,189,83512000,14,1,6,2,81400883
2001,36303,89,96,185,83583000,14,1,5,2,81453894
2002,36704,90,91,181,83685000,14,1,5,2,81535124
2003,36721,89,92,181,83788000,14,1,4,2,81614371
2004,37063,91,91,182,83849000,14,1,4,2,81646474
2005,37149,91,86,177,81246800,14,2,4,2,81602739
2006,37478,92,85,177,81055900,14,2,4,2,81472235
2007,37159,92,83,175,80854510,14,3,4,2,81277836
2008,37539,90,82,172,80665910,14,3,4,2,81065751
2009,37796,90,80,170,80519680,14,3,4,2,80899961
2010,38257,89,84,173,80435310,14,3,3,2,80827001
2011,38668,89,85,174,80424660,14,3,3,2,80855629
2012,38739,89,82,171,80477950,14,3,3,2,80972629
2013,38992,90,81,171,80565860,14,3,3,2,81174373
2014,39401,92,79,171,80646260,15,3,3,2,81450370
2015,39726,95,71,166,80688540,15,2,3,2,81787411
2016,40011,96,68,164,80722792,15,2,3,2,82193770
2017,40037,95,64,159,80594017,15,2,3,2,82658409
2018,39917,94,58,152,80457737,14,0,3,2,83124413
2019,39724,94,56,150,80308700,14,0,3,2,83517046
2020,,94,56,150,,14,0,3,2,83783945
2021,39456,94,55,149,,14,0,3,2,83900471
