Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1981,901,,,,11246000,,,,,11348287
1983,826,,,,12040000,,,,,12033559
1985,3000,,,,12872000,,,,,12783617
1987,5500,0,50,50,13639000,0,8,1,0,13552021
1989,8900,0,39,39,14393000,0,5,1,0,14353409
1991,9800,13,26,39,15216000,2,3,1,0,15207360
1993,12000,13,33,46,16106000,2,4,1,0,16106756
1995,14000,12,36,48,16997000,2,5,1,0,17014058
1997,16000,25,32,57,17855000,4,5,1,0,17908977
1999,17278,32,28,60,18716000,5,4,1,1,18812369
2000,18630,33,29,62,19165000,5,4,1,1,19278850
2001,20416,34,29,63,19632000,5,4,1,1,19756929
2002,22164,38,29,67,20114000,5,4,1,1,20246376
2003,23738,41,33,74,20611000,5,4,1,1,20750308
2004,26222,41,33,74,21120000,5,4,1,1,21272328
2005,29315,41,40,81,21640000,5,4,2,1,21814648
2006,32965,44,40,84,22171000,6,5,2,1,22379057
2007,36242,45,48,93,22712000,7,5,2,1,22963946
2008,38224,48,51,99,23264000,7,5,2,1,23563832
2009,40872,55,65,120,23824000,7,6,2,1,24170943
2010,45094,58,63,121,24392000,7,6,2,1,24779614
2011,48578,72,57,129,24966000,8,5,2,1,25387713
2012,52387,79,69,148,25546000,10,7,3,1,25996454
2013,57748,83,85,168,25905000,11,8,4,1,26607641
2014,62031,102,105,207,26442000,13,9,4,1,27224480
2015,67398,116,128,244,26327649,15,11,4,1,27849203
2016,72535,133,144,277,26908262,18,12,4,1,28481947
2017,78065,164,139,303,27499924,22,9,4,1,29121464
2018,83651,174,140,314,28102471,24,11,4,1,29767108
2019,89135,188,140,328,28721360,25,11,4,1,30417858
2020,,184,147,331,,26,10,4,1,31072945
2021,96508,195,146,341,,29,9,4,1,31732128
