Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1940,100,,,,,,,,,
1950,271,,,,,,,,,59653
1960,300,,,,68000,,,,,66733
1965,350,,,,75000,,,,,74828
1967,400,,,,78000,,,,,78412
1970,469,1,0,1,84000,,,,,83875
1971,493,,,,86000,,,,,85729
1976,,2,0,2,,,,,,95380
1978,,2,1,3,,,,,,99629
1980,,0,4,4,,,,,,104134
1983,826,0,4,4,111000,0,1,1,0,111403
1985,1700,0,4,4,122000,0,1,1,0,116576
1987,1500,0,4,4,128000,0,1,1,0,121923
1989,2200,0,3,3,134000,0,1,1,0,127525
1991,1000,0,3,3,140000,0,1,1,0,133553
1993,1200,0,4,4,146000,0,1,1,0,139813
1995,1400,0,5,5,150000,0,1,1,0,145559
1997,1400,0,3,3,154000,0,1,1,0,150303
1999,1476,0,4,4,155000,0,1,1,0,153955
2000,1574,0,4,4,156000,0,1,1,0,155323
2001,1519,0,4,4,157000,0,1,1,0,156395
2002,1653,0,4,4,158000,0,1,1,0,157173
2003,1677,0,4,4,158000,0,1,1,0,157723
2004,1615,0,4,4,158000,0,1,1,0,158094
2005,1669,0,4,4,158000,0,1,1,0,158406
2006,1547,0,3,3,158000,0,1,1,0,158649
2007,1690,0,3,3,158000,0,1,1,0,158848
2008,1874,0,3,3,158000,0,1,1,0,159037
2009,1971,0,4,4,159000,0,1,1,0,159232
2010,2140,4,0,4,159000,1,0,1,0,159439
2011,2252,4,0,4,161000,1,0,1,0,159690
2012,2294,4,0,4,163000,1,0,1,0,159990
2013,2239,4,0,4,165000,1,0,1,0,160415
2014,2265,4,0,4,168000,1,0,1,0,161007
2015,2295,4,0,4,161785,1,0,1,0,161851
2016,2431,4,0,4,162742,1,0,1,0,162948
2017,2516,4,0,4,167358,1,0,1,0,164281
2018,2572,4,0,4,167772,1,0,1,1,165770
2019,2550,4,1,5,168129,1,0,1,1,167295
2020,,4,3,7,,1,0,1,0,168783
2021,2534,4,3,7,,1,0,1,0,170184
