Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1989,50,0,1,1,728000,0,0,0,0
1991,100,0,1,1,723000,0,0,0,0
1993,300,0,1,1,724000,0,0,0,0
1995,500,0,2,2,728000,0,0,0,0
1997,700,0,3,3,734000,0,0,0,0
1999,1026,0,3,3,741000,0,0,0,0
2000,1036,0,4,4,744000,0,0,0,0
2001,1148,0,4,4,743160,0,0,0,0
2002,1251,0,4,4,743110,0,0,0,0
2003,1340,0,5,5,742540,0,1,0,0
2004,1607,0,6,6,742160,0,1,0,0
2005,1845,0,8,8,742500,0,3,0,0
2006,2072,0,11,11,743710,0,2,0,0
2007,2572,0,12,12,745640,0,2,0,0
2008,3935,0,16,16,748100,0,2,0,0
2009,4846,0,15,15,750750,0,2,0,0
2010,5016,0,15,15,753360,0,2,0,0
2011,5198,0,13,13,755880,0,1,0,0
2012,5415,0,13,13,758410,0,1,0,0
2013,5474,0,13,13,761030,0,1,0,0
2014,5575,0,13,13,763890,0,1,0,0
2015,5648,0,13,13,767090,0,1,0,0
2016,5674,0,13,13,735909,0,1,0,0
2017,5840,0,11,11,737718,0,2,0,0
2018,6001,0,11,11,740685,0,2,0,0
2019,6264,0,11,11,745445,0,2,0,0
2020,,0,11,11,,0,2,0,0
2021,6417,0,11,11,,0,2,0,0
