Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1950,1,,,,,,,,,1974002
1960,346,,,,3227000,,,,,3046048
1965,3486,,,,3802000,,,,,3467220
1967,2469,,,,3902000,,,,,3624973
1970,3085,,,,3958000,,,,,3848922
1971,2992,,,,4006000,,,,,3913597
1975,4020,,,,4500800,,,,,4208963
1977,4267,,,,4631500,,,,,4462399
1979,6193,,,,5024700,,,,,4745877
1981,7327,,,,5238500,,,,,4971693
1983,9372,,,,5377400,,,,,5133705
1985,12200,,,,5500400,,,,,5287023
1987,14000,23,1,24,5615300,4,0,1,0,5464705
1989,17000,23,3,26,5726500,4,0,1,0,5646276
1991,18000,24,5,29,5815300,4,0,1,0,5800040
1993,18000,24,8,32,5998000,4,0,1,1,5928336
1995,19000,24,11,35,6270000,5,0,1,1,6084234
1997,19000,25,10,35,6516700,5,0,1,1,6299912
1999,20256,29,10,39,6637600,5,1,1,1,6522461
2000,20702,28,11,39,6711500,5,1,1,1,6606328
2001,21084,28,13,41,6730300,5,1,1,1,6664775
2002,21302,28,11,39,6725800,5,1,1,1,6701771
2003,21529,27,10,37,6764200,5,1,1,1,6724687
2004,21876,27,10,37,6797700,5,1,1,1,6744563
2005,22263,26,10,36,6837800,5,1,1,1,6769579
2006,22556,23,10,33,6904300,4,1,1,1,6802083
2007,22939,23,10,33,6938400,4,1,1,1,6840017
2008,23223,23,9,32,6968000,4,1,1,1,6881861
2009,24114,23,9,32,7007000,4,1,1,1,6924642
2010,24425,23,9,32,7050000,4,1,1,1,6966324
2011,23992,23,9,32,7096000,4,1,1,1,7006598
2012,24188,24,9,33,7148000,4,1,1,1,7046847
2013,24528,25,9,34,7204000,4,1,1,1,7088780
2014,24746,28,9,37,7260000,4,1,1,1,7134668
2015,24856,31,9,40,7141106,4,1,1,1,7185992
2016,24881,33,8,41,7167403,6,1,1,1,7243541
2017,24858,33,9,42,7191503,6,1,1,1,7306315
2018,24933,33,6,39,7213338,6,1,1,1,7371728
2019,25083,32,5,37,7231623,6,1,1,1,7436157
2020,,32,5,37,,6,1,1,1,7496988
2021,24859,30,5,35,,6,1,1,1,7552800
