Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1977,189,,,,651935000,,,,,652408766
1979,215,,,,683033000,,,,,682995348
1981,198,,,,715105000,,,,,715384997
1983,332,,,,747968000,,,,,749428958
1985,470,,,,781737000,,,,,784360012
1987,700,0,9,9,816329000,0,2,0,0,819682095
1989,800,0,9,9,851375000,0,3,0,0,855334675
1991,900,o,9,9,886349000,0,3,0,0,891273202
1993,1300,0,14,14,921108000,0,4,1,0,927403866
1995,1800,0,20,20,955804000,0,5,1,0,963922586
1997,2000,o,18,18,990460000,0,4,1,0,1000900028
1999,2435,o,18,18,1025015000,0,4,1,0,1038058154
2000,2865,o,21,21,1042262000,0,3,1,0,1056575548
2001,3428,o,21,21,1059501000,0,3,1,0,1075000094
2002,4013,0,21,21,1076706000,0,3,1,0,1093317187
2003,4632,0,22,22,1093787000,0,3,1,0,1111523146
2004,5453,0,23,23,1110626000,0,3,1,0,1129623466
2005,5951,0,26,26,1127144000,0,3,1,0,1147609924
2006,6454,0,24,24,1143289000,0,3,1,0,1165486291
2007,7008,o,26,26,1159095000,0,3,2,0,1183209471
2008,7576,0,28,28,1174662000,0,3,2,0,1200669762
2009,8289,o,30,30,1190138000,0,6,2,0,1217726217
2010,9188,0,36,36,1205625000,0,6,2,0,1234281163
2011,9964,0,36,36,1221156000,0,7,2,0,1250287939
2012,10958,6,34,40,1236687000,1,6,2,0,1265780243
2013,11690,6,36,42,1252140000,1,6,2,0,1280842119
2014,12257,6,37,43,1267402000,1,6,2,0,1295600768
2015,12701,11,32,43,1251695584,2,5,2,0,1310152392
2016,13141,16,27,43,1266883598,3,4,2,0,1324517250
2017,13570,21,22,43,1281935911,4,3,2,0,1338676779
2018,13995,21,24,45,1296834042,4,3,2,1,1352642283
2019,14528,21,25,46,1311463645,4,3,2,1,1366417756
2020,,21,25,46,,4,3,2,0,1380004385
2021,14866,21,25,46,,4,3,2,0,1393409033
