Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1975,1183,,,,134106000,0,1,1,0,130680730
1977,1372,,,,140688000,0,2,1,0,137278057
1979,1411,,,,147404000,0,3,1,0,144009844
1981,1691,,,,154275000,0,3,0,0,150938222
1983,2444,,,,161246000,0,3,0,0,158009248
1985,3100,,,,168119000,0,3,1,0,164982452
1987,3600,0,18,18,174767000,0,3,1,0,171702756
1989,4100,0,18,18,181198000,0,3,0,0,178209147
1991,4500,0,18,18,187452000,0,3,0,0,184591897
1993,4600,0,18,18,193526000,0,3,0,0,190851184
1995,5000,0,20,20,199400000,0,3,1,0,196934257
1997,5200,0,21,21,205063000,0,3,1,0,202826444
1999,5339,0,21,21,210611000,0,3,1,0,208615171
2000,5374,0,20,20,213395000,0,3,1,0,211513822
2001,5510,0,21,21,216203000,0,3,1,0,214427419
2002,5604,0,22,22,219026000,0,3,1,0,217357790
2003,5720,0,22,22,221839000,0,3,1,0,220309473
2004,5815,0,22,22,224607000,0,3,1,0,223285666
2005,5956,0,24,24,227303000,0,3,1,0,226289468
2006,6144,0,24,24,229919000,0,3,1,0,229318262
2007,6256,0,24,24,232462000,0,3,1,0,232374239
2008,6393,0,23,23,234951000,0,3,1,0,235469755
2009,6546,0,22,22,237414000,0,3,1,0,238620554
2010,6683,0,21,21,240676000,0,3,1,0,241834226
2011,6812,8,14,22,243802000,1,2,1,0,245115988
2012,6904,14,9,23,246864000,2,1,1,0,248451714
2013,6920,14,9,23,249866000,2,1,1,0,251805314
2014,7016,14,9,23,252812000,2,1,1,0,255128076
2015,7182,15,9,24,255993674,2,1,1,0,258383257
2016,7289,15,9,24,258316051,2,1,1,0,261556386
2017,7399,15,9,24,260580739,2,1,1,0,264650968
2018,7477,15,9,24,262787403,2,1,1,0,267670549
2019,7561,15,9,24,264906885,2,1,1,0,270625567
2020,,15,9,24,,2,1,1,0,273523621
2021,7564,15,9,24,,2,1,1,0,276361788
