Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1985,620,,,,62000,,,,,63989
1987,1200,0,12,12,66000,0,1,0,0,67244
1989,1300,0,17,17,69000,0,1,0,0,70849
1991,4100,0,17,17,72000,0,1,0,0,73692
1993,4600,0,17,17,74000,0,1,0,0,75711
1995,5100,0,17,17,76000,0,1,0,0,77716
1997,6000,6,12,18,79000,1,1,0,0,80188
1999,7964,10,13,23,81000,1,1,0,0,82969
2000,8633,11,16,27,83000,1,1,0,0,84405
2001,9459,11,16,27,84000,1,1,0,0,85844
2002,10019,11,16,27,86000,1,1,0,0,87308
2003,10692,11,17,28,87000,1,1,0,0,88840
2004,11081,11,16,27,89000,1,1,0,0,90498
2005,11511,11,16,27,90000,1,1,0,0,92319
2006,11771,11,17,28,92000,1,0,0,0,94341
2007,12446,11,17,28,93000,2,0,0,0,96531
2008,13475,11,15,26,95000,2,0,0,0,98760
2009,14172,11,14,25,96000,2,0,0,0,100928
2010,14927,11,14,25,98000,2,0,0,0,102930
2011,15364,11,14,25,99000,2,0,0,0,104735
2012,16279,11,15,26,101000,2,0,0,0,106359
2013,16659,11,15,26,102000,2,0,0,0,107887
2014,16795,11,15,26,104000,2,1,0,0,109387
2015,17462,11,15,26,105711,2,1,0,0,110927
2016,18368,11,17,28,106925,2,2,0,0,112529
2017,19690,11,19,30,108145,2,2,0,0,114153
2018,20390,11,21,32,109367,2,2,0,0,115842
2019,20946,11,26,37,110582,2,3,0,0,117608
2020,,11,27,38,,2,3,0,0,119446
2021,21853,12,30,42,,2,3,0,0,121388
