Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1999,181,0,2,2,11013000,0,0,0,0,10854325
2000,274,0,3,3,11321000,0,0,0,0,11148751
2001,326,0,3,3,11623000,0,0,0,0,11432001
2002,377,0,2,2,11927000,0,0,0,0,11713663
2003,409,0,2,2,12239000,0,0,0,0,12000183
2004,480,0,2,2,12569000,0,0,0,0,12301837
2005,540,0,3,3,12925000,0,0,0,0,12625950
2006,600,0,3,3,13308000,0,0,0,0,12973693
2007,705,0,4,4,13714000,0,0,0,0,13341808
2008,742,0,3,3,14138000,0,0,0,0,13727899
2009,798,0,3,3,14573000,0,0,0,0,14128161
2010,925,0,3,3,15014000,0,0,0,0,14539609
2011,1156,0,6,6,15458000,0,1,0,0,14962118
2012,1421,0,6,6,15906000,0,1,0,0,15396010
2013,1653,0,8,8,16363000,0,1,0,0,15839287
2014,1931,0,8,8,16829000,0,1,0,0,16289550
2015,2143,0,8,8,17964697,0,2,0,0,16745305
2016,2486,0,8,8,18570321,0,2,0,0,17205253
2017,2745,0,8,8,19196246,0,2,0,0,17670193
2018,2941,0,8,8,19842560,0,2,0,0,18143215
2019,3143,0,8,8,20519595,0,2,0,0,18628749
2020,,0,9,9,,0,2,0,0,19129955
2021,3612,0,10,10,,0,2,0,0,19647681
