Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1979,177,,,,29400,,,,,29417
1983,1142,,,,34900,,,,,34881
1985,890,,,,38300,,,,,38331
1987,1100,0,4,4,42100,0,1,0,0,42168
1989,1300,0,7,7,45800,0,1,0,0,45827
1991,1700,0,7,7,48000,0,2,0,0,48403
1993,2200,0,9,9,50000,0,2,0,0,49828
1995,2900,0,10,10,51000,0,2,0,0,50454
1997,3400,0,9,9,50356,0,2,0,0,50453
1999,3369,0,10,10,50423,0,2,0,0,50418
2000,3524,0,11,11,50753,0,2,0,0,50754
2001,3625,0,11,11,51422,0,2,0,0,51411
2002,3843,0,11,11,52370,0,2,0,0,52368
2003,4079,0,11,11,53456,0,2,0,0,53465
2004,4085,0,11,11,54476,0,2,0,0,54476
2005,4296,0,11,11,55258,0,2,0,0,55257
2006,4439,0,11,11,55767,0,2,1,0,55765
2007,4623,0,11,11,56051,0,2,1,0,56046
2008,4476,0,11,11,56174,0,2,1,0,56166
2009,4725,6,5,11,56250,1,1,1,0,56255
2010,5093,6,6,12,56366,1,1,1,0,56361
2011,5850,6,6,12,56531,1,1,1,0,56524
2012,6030,6,6,12,56717,1,1,1,0,56712
2013,6187,6,6,12,56938,1,1,1,0,56933
2014,6865,6,8,14,57179,1,1,1,0,57183
2015,7233,7,7,14,57439,1,1,1,0,57444
2016,7446,12,2,14,57735,2,0,1,0,57723
2017,6970,12,0,12,58058,2,0,1,0,58053
2018,7089,12,0,12,58413,2,0,1,0,58412
2019,6976,12,1,13,58791,2,0,1,0,58791
2020,,12,1,13,,2,0,1,0,59194
2021,6977,12,1,13,,2,0,1,0,59618
