Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1920,2314,,,,14334780,,,,,
1930,4773,,,,16552722,,,,,
1940,4196,,,,19653552,,,,,
1950,5915,,,,25791017,,,,,27944671
1960,12695,,,,39939000,,,,,37771861
1970,67965,,,,52988000,,,,,51493565
1972,100000,,,,55081000,,,5,0,54689944
1977,199557,,,,65261000,,,,,62869908
1979,231266,,,,68715000,,,,,66123907
1983,238889,,,,73223000,,,8,1,72709306
1985,293000,,,,77859000,,,,,75983486
1987,360000,531,458,989,79359000,92,35,10,1,79200081
1989,570000,629,602,1231,82666000,104,40,15,1,82368930
1991,659000,729,649,1378,87890000,124,44,17,1,85512621
1993,688000,780,603,1383,91654000,125,47,18,1,88625440
1995,728000,847,535,1382,95393000,138,44,18,2,91663290
1997,783000,1059,488,1547,98969000,162,43,18,3,94611008
1999,846931,1242,472,1714,102317000,179,40,18,12,97484823
2000,884071,1297,475,1772,103874000,188,41,18,12,98899845
2001,918975,1348,478,1826,105340000,192,39,19,12,100298152
2002,952947,1363,489,1852,106724000,195,39,19,12,101684764
2003,980053,1375,495,1870,108056000,199,40,20,12,103081020
2004,1013017,1382,495,1876,109382000,201,41,20,12,104514934
2005,1043718,1408,495,1903,110732000,206,41,20,12,106005199
2006,1082427,1434,502,1936,112117000,207,41,21,12,107560155
2007,1121893,1459,503,1962,113530000,210,40,21,12,109170503
2008,1158236,1479,498,1977,114968000,212,41,21,12,110815272
2009,1197573,1541,466,2007,116423000,220,35,21,12,112463886
2010,1234545,1544,465,2009,117886000,221,34,23,13,114092961
2011,1273199,1543,457,2000,120365270,222,36,24,13,115695468
2012,1317700,1535,450,1985,122070960,225,36,26,13,117274156
2013,1344239,1530,450,1980,123740110,226,36,34,13,118827158
2014,1368475,1544,454,1998,125385830,228,37,34,13,120355137
2015,1394708,1554,461,2015,127017220,230,40,34,13,121858251
2016,1417011,1548,468,2016,123166749,230,40,34,13,123333379
2017,1435383,1506,481,1987,124562977,229,42,34,13,124777326
2018,1455774,1354,492,1846,125959205,220,47,32,14,126190782
2019,1481530,1356,487,1843,127304385,222,47,32,14,127575529
2020,,1357,491,1848,,222,47,32,13,128932753
2021,1498296,1355,494,1849,,222,47,32,13,130262220
