Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1930,3580,,,,7825000,,,,,
1940,2832,,,,8834000,,,,,
1946,3200,,,,,,,,,
1950,3408,,,,10026773,,,,,10042051
1960,3810,,,,11576000,,,,,11448815
1965,5962,,,,12213000,,,,,12248333
1967,6659,,,,12521000,,,,,12556841
1970,6797,,,,12958000,,,,,13001941
1971,6627,,,,13096000,,,,,13147935
1975,7419,,,,13600000,,,,,13683287
1977,7486,,,,13815000,,,,,13892920
1979,8168,,,,14004000,,,,,14068597
1981,6710,,,,14166000,,,,,14223757
1983,6328,,,,14308000,,,,,14365388
1985,6600,,,,14453000,,,,,14513947
1987,6700,11,22,33,14614000,2,0,1,0,14682662
1989,6800,14,19,33,14794000,3,0,1,0,14868659
1991,7000,13,20,33,14995000,3,0,1,0,15064522
1993,7000,13,21,34,15213000,3,0,1,0,15268005
1995,7500,15,22,37,15422000,3,0,1,0,15467852
1997,7500,16,23,39,15606000,3,0,1,0,15655482
1999,7627,17,26,43,15776000,3,0,1,1,15835525
2000,7778,17,26,43,15863000,3,0,1,1,15926188
2001,7809,17,20,37,15953000,3,0,1,1,16018112
2002,7899,18,18,36,16046000,3,0,0,1,16110355
2003,8006,18,17,35,16138000,3,0,0,1,16200948
2004,8093,18,17,35,16225000,3,0,0,1,16287183
2005,8286,19,16,35,16305000,3,0,0,1,16367153
2006,8428,19,15,34,16378000,3,0,0,1,16440091
2007,8548,18,16,34,16443000,3,0,0,1,16506651
2008,8709,19,15,34,16503000,3,0,0,1,16568105
2009,8901,19,14,33,16559000,3,0,0,1,16626379
2010,9052,20,13,33,16613000,3,0,0,1,16682927
2011,9164,21,12,33,16665000,3,0,0,1,16738190
2012,9247,21,11,32,16749320,3,0,0,1,16791850
2013,9284,21,12,33,16809160,3,0,0,1,16843512
2014,9063,21,12,33,16868020,3,0,0,1,16892517
2015,9017,23,10,33,16924930,3,0,0,1,16938492
2016,9132,23,10,33,17016967,3,0,0,1,16981285
2017,9338,21,5,26,17084719,3,0,0,1,17021343
2018,9421,20,5,25,17151228,3,0,1,1,17059560
2019,9326,20,4,24,17215813,3,0,1,1,17097123
2020,,20,4,24,,3,0,1,1,17134873
2021,9365,20,4,24,,3,0,1,1,17173094
