Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1880,198,0,7,7,534000,,,,
1887,2573,,,,623400,,,,
1900,4000,0,79,79,802200,,,,
1930,7075,,,,1486100,,,,
1935,8600,0,83,83,1558400,,,,
1940,9579,,,,1641600,,,,
1950,12155,,,,1892100,,,,
1958,17000,,,,2262800,,,,
1960,15977,,,,2424000,,,,
1965,23695,,,,2628000,,,,
1967,26816,,,,2704000,,,,
1970,28694,,,,2820000,,,,
1971,31959,,,,2872000,,,,
1975,34424,,,,3083000,,,,
1977,36347,,,,3123000,,,,
1979,39556,,,,3136000,,,,
1981,40477,,,,3165000,,,,
1983,39572,,,,3216000,,,2,1
1985,50000,,,,3269000,,,,
1987,60000,92,57,149,3311000,16,2,2,1
1989,76000,99,59,158,3361000,16,2,2,1
1991,77000,106,62,168,3446000,16,2,2,1
1993,80000,108,76,184,3565000,16,5,2,1
1995,82000,121,79,200,3675000,20,6,2,1
1997,86000,142,74,216,3752000,25,5,2,1
1999,89952,145,66,211,3817000,25,5,2,1
2000,90078,146,64,210,3858000,25,4,2,1
2001,91373,147,60,207,3907000,25,4,2,1
2002,92631,144,56,200,3962000,25,4,2,1
2003,93840,143,57,200,4021000,25,4,2,1
2004,94722,144,57,201,4079000,25,4,2,1
2005,96027,148,53,201,4134000,25,3,2,1
2006,97474,149,53,202,4185000,25,3,2,1
2007,98710,148,54,202,4232000,25,3,2,1
2008,99488,150,54,204,4278000,25,3,2,1
2009,100962,152,51,203,4323000,25,3,2,1
2010,104115,154,53,207,4368000,25,3,2,1
2011,106127,157,52,209,4415000,25,3,2,1
2012,107511,156,51,207,4461000,26,3,2,1
2013,108912,159,52,211,4506000,28,3,3,1
2014,109920,160,55,215,4567527,28,3,3,1
2015,111141,165,57,222,4614532,29,3,3,1
2016,112366,172,53,225,4659265,30,2,3,1
2017,113436,173,51,224,4702034,30,2,3,1
2018,114215,173,52,225,4743131,30,2,3,2
2019,115236,177,51,228,4783063,30,2,3,2
2020,,176,52,228,,,,,
2021,,177,52,229,,,,,
