Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1977,2606,,,,2975000,,,,,2985480
1979,3346,,,,3158000,,,,,3171404
1983,3270,,,,3530000,,,,,3549711
1985,3100,,,,3697000,,,,,3734343
1987,3900,4,5,9,3863000,1,0,0,0,3909672
1989,2100,0,9,9,4030000,0,1,1,0,4082958
1991,11000,0,56,56,4219000,0,8,1,0,4267570
1993,13000,0,59,59,4430000,0,8,1,0,4462496
1995,18000,0,96,96,4637000,0,13,1,0,4652185
1997,25000,0,75,75,4825000,0,12,1,0,4827658
1999,31747,7,70,77,4995000,1,11,1,0,4991041
2000,34791,13,68,81,5101000,2,10,1,0,5069310
2001,37483,14,67,81,5177000,2,10,1,0,5145367
2002,41224,14,68,82,5249000,2,10,1,0,5219324
2003,44105,14,68,82,5318000,2,10,1,0,5292115
2004,47895,27,55,82,5386000,4,8,1,0,5364930
2005,52184,44,43,87,5455000,7,5,1,0,5438692
2006,55369,46,44,90,5525000,7,7,1,0,5513757
2007,59868,54,38,92,5596000,8,6,1,0,5590066
2008,63964,55,38,93,5668000,8,6,1,0,5667436
2009,67275,56,44,100,5743000,9,6,1,0,5745538
2010,71888,58,45,103,5822000,9,7,2,0,5824058
2011,76001,60,42,102,5905000,9,6,2,0,5903035
2012,80605,60,42,102,5992000,9,6,2,0,5982530
2013,84405,61,40,101,5945650,9,6,2,0,6062462
2014,87880,62,39,101,6013910,9,6,2,0,6142734
2015,92152,61,42,103,6082030,9,6,2,0,6223234
2016,95768,63,46,109,5966798,10,5,2,0,6303970
2017,98534,72,39,111,6025951,12,4,2,0,6384843
2018,100089,73,39,112,6085213,12,4,2,1,6465502
2019,100331,73,39,112,6144327,12,4,2,1,6545503
2020,,71,39,110,,12,4,2,0,6624554
2021,101133,71,38,109,,12,4,2,0,6702379
