Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1960,349,0,5,5,10218000,,,,,10155011
1965,6391,,,,11468000,,,,,11711402
1967,7561,,,,12134000,,,,,12386868
1970,10771,,,,13195000,,,,,13459789
1971,11998,,,,13569000,,,,,13836365
1975,16117,,,,15144000,,,,,15424745
1977,19497,,,,15988000,2,5,2,0,16258323
1979,28696,,,,16853000,,,,,17113393
1981,40646,,,,17720000,,,,,17985398
1983,59890,,,,18585000,,,,,18870988
1985,109000,,,,19460000,,,,,19772871
1987,125000,181,165,346,20350000,31,16,4,1,20691285
1989,159000,219,151,370,21244000,34,21,5,1,21614193
1991,195000,255,216,471,22122000,43,25,5,1,22522383
1993,234000,328,349,677,22980000,52,30,6,1,23408135
1995,279000,393,368,761,23827000,63,34,7,1,24299168
1997,312000,633,341,974,24667000,81,33,7,1,25210957
1999,333828,557,281,838,25479000,81,33,7,1,26078295
2000,342902,518,238,756,25862000,80,32,7,1,26459944
2001,353559,512,221,733,26228000,80,32,7,1,26799289
2002,368568,512,220,732,26579000,80,32,7,1,27100964
2003,384663,508,216,724,26916000,81,30,7,1,27372217
2004,402230,511,219,730,27242000,81,29,7,1,27624226
2005,416060,515,218,733,27559000,81,29,7,1,27866140
2006,432547,524,211,735,27866000,82,28,7,1,28102055
2007,448903,557,182,739,28166000,87,23,7,1,28333050
2008,462353,568,183,751,28463000,87,24,7,2,28562321
2009,480816,587,179,766,28765000,94,23,7,2,28792663
2010,493563,596,180,776,29077000,94,24,9,2,29027680
2011,508812,617,171,788,29400000,98,23,10,2,29264314
2012,527759,617,169,786,29734000,98,23,10,3,29506790
2013,543869,619,157,776,30075000,100,21,12,3,29773986
2014,557328,619,155,774,30769000,100,21,12,3,30090372
2015,568559,612,152,764,30444999,100,20,13,3,30470739
2016,578526,614,135,749,30741062,101,19,13,4,30926036
2017,590121,618,129,747,31036656,101,19,13,4,31444299
2018,605045,634,125,759,31331228,104,19,13,4,31989265
2019,619045,666,114,780,31623109,112,17,14,4,32510462
2020,,666,112,778,,112,17,14,3,32971845
2021,624569,667,113,780,,112,17,14,3,33359415
