Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1960,11,,,,27163000,,,,,26269741
1965,794,,,,30913000,,,,,30909997
1967,2001,,,,32826000,,,,,32823970
1970,4603,,,,35805000,,,,,35803591
1971,7188,,,,36852000,,,,,36849678
1975,18981,5,52,57,40893000,1,8,2,0,41285741
1977,26355,,,,43265000,,,,,43629415
1979,33218,,,,45763000,,,,,46079844
1981,56717,,,,48399000,,,,,48672831
1983,75883,,,,51167000,,,,,51408910
1985,107000,,,,54053000,,,,,54275836
1987,149000,186,311,497,57047000,32,32,6,1,57263835
1989,213000,228,410,638,60102000,38,39,9,1,60340768
1991,266000,248,521,769,63147000,44,58,12,1,63454785
1993,314000,276,667,943,66174000,46,83,13,1,66593903
1995,354000,278,717,995,69255000,46,89,13,1,69784087
1997,389000,336,665,1001,72427000,56,85,13,1,73030879
1999,441359,414,637,1051,75670000,68,77,13,1,76325927
2000,470486,490,667,1157,77310000,77,73,13,1,77991757
2001,496062,520,708,1228,78964000,80,74,13,1,79672869
2002,517374,525,709,1234,80630000,81,76,13,1,81365260
2003,526178,486,627,1113,82294000,79,81,13,1,83051970
2004,537014,474,611,1085,83937000,77,85,14,1,84710544
2005,553121,466,611,1077,85546000,76,87,14,1,86326251
2006,572619,469,606,1075,87116000,76,87,15,2,87888675
2007,594665,481,602,1083,88653000,77,87,15,2,89405482
2008,614585,488,599,1087,90173000,78,86,15,2,90901967
2009,631885,495,600,1095,91703000,79,86,15,2,92414161
2010,645776,500,600,1100,93261000,80,85,16,3,93966784
2011,661598,518,600,1118,94852000,83,85,17,3,95570049
2012,675166,537,597,1134,96471000,85,84,17,3,97212639
2013,688117,556,592,1148,98394000,88,82,21,3,98871558
2014,710764,599,582,1181,100096000,93,79,21,3,100513137
2015,728295,618,583,1201,100998376,96,77,21,3,102113206
2016,745959,623,588,1211,102624209,96,76,21,3,103663812
2017,765393,645,573,1218,104256076,101,74,21,4,105172921
2018,785164,691,536,1227,105893381,107,68,22,6,106651394
2019,805209,721,518,1239,107537098,115,63,23,7,108116622
2020,,742,508,1250,,116,62,23,2,109581085
2021,833045,770,486,1256,,123,56,23,2,111046910
