Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1975,91,,,,9186000,,,,
1977,1048,,,,9445000,,,,
1979,2098,,,,9675000,,,,
1981,3411,,,,9834000,,,,
1983,5097,,,,9914000,,,1,0
1985,7100,,,,9938000,,,,
1987,12000,16,49,65,9921000,3,8,2,0
1989,23000,25,80,105,9895000,5,8,2,0
1991,31000,24,94,118,9920000,5,9,3,0
1993,33000,24,87,111,10001000,5,12,3,0
1995,34000,23,81,104,10097000,5,12,3,0
1997,35000,23,82,105,10182000,5,12,3,0
1999,35248,28,77,105,10264000,5,12,3,0
2000,35146,28,59,87,10306000,5,8,3,0
2001,35695,28,58,86,10351000,5,6,3,0
2002,36546,34,48,82,10396000,6,5,2,0
2003,37170,34,48,82,10439000,6,5,2,0
2004,37484,35,45,80,10478000,6,5,2,0
2005,37812,35,44,79,10511000,6,4,2,0
2006,38130,34,43,77,10537000,6,4,2,0
2007,38100,35,40,75,10556000,6,4,2,0
2008,38188,33,40,73,10570000,6,4,2,0
2009,38509,33,35,68,10581000,6,4,2,0
2010,39031,33,35,68,10590000,6,4,2,1
2011,39760,32,35,67,10598000,6,4,1,1
2012,40941,32,36,68,10604000,6,4,1,1
2013,41917,32,40,72,10608000,6,4,1,1
2014,42861,31,43,74,10610000,6,4,1,1
2015,43240,32,42,74,10825309,6,4,2,1
2016,43821,32,40,72,10833816,6,4,2,1
2017,44510,30,38,68,10839514,6,4,2,1
2018,45227,31,35,66,10355493,6,4,1,1
2019,45576,32,35,67,10329084,6,4,1,1
2020,,32,34,66,,6,3,1,1
2021,45675,39,23,62,,7,1,1,1
