Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1991,99,0,1,1,23170000,0,1,,0
1993,300,0,4,4,22949000,0,1,1,0
1995,600,0,9,9,22681000,0,2,1,0
1997,1100,0,16,16,22465000,0,1,1,0
1999,1545,0,17,17,22283000,0,2,1,0
2000,1770,0,18,18,22388000,0,2,1,0
2001,1985,0,20,20,22310000,0,2,1,0
2002,2146,0,20,20,22250000,0,2,1,0
2003,2196,0,19,19,22202000,0,2,1,0
2004,2302,0,19,19,22158000,0,2,1,0
2005,2483,0,19,19,22113000,0,2,1,0
2006,2623,0,19,19,22065000,0,2,1,0
2007,2672,0,19,19,22016000,0,2,1,0
2008,2736,0,19,19,21965000,0,2,1,0
2009,2800,0,17,17,21913000,0,2,1,0
2010,2905,0,17,17,21861000,0,2,1,0
2011,2972,0,18,18,21809000,0,2,1,0
2012,3002,0,18,18,21755000,0,2,1,0
2013,2990,0,16,16,21699000,0,2,1,0
2014,2993,0,16,16,21640000,0,2,1,0
2015,3043,0,16,16,21666350,0,2,1,0
2016,3059,0,16,16,21599736,0,2,1,0
2017,3052,0,15,15,21529967,0,2,1,0
2018,3077,0,15,15,21457116,0,3,0,0
2019,3064,0,15,15,21380005,0,3,0,0
2020,,0,15,15,,,,,
2021,,0,15,15,,,,,
