Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1991,700,0,4,4,148600000,0,0,0,0,147995584
1993,1900,0,33,33,148946000,0,5,3,0,148373584
1995,3700,0,59,59,148699000,0,8,6,0,148227471
1997,8000,0,96,96,148139000,0,11,7,0,147730020
1999,11092,0,103,103,147287000,0,12,8,0,146915915
2000,13509,0,112,112,146758000,0,13,8,0,146404890
2001,15128,0,116,116,146162000,0,14,8,0,145830726
2002,16638,0,120,120,145520000,0,14,8,0,145215707
2003,17284,0,115,115,144880000,0,14,8,0,144610876
2004,18269,0,114,114,144307000,0,15,8,0,144080649
2005,18785,0,113,113,143933000,0,14,8,0,143672125
2006,19180,0,121,121,143715000,0,15,8,0,143403258
2007,19543,0,129,129,143652000,0,13,8,0,143266207
2008,19946,0,129,129,143677000,0,15,8,0,143248764
2009,20276,0,126,126,143690000,0,15,8,0,143326904
2010,21023,0,116,116,143618000,0,13,8,0,143479273
2011,21418,6,103,109,143438000,1,11,8,0,143703027
2012,21709,12,87,99,143170000,2,7,7,0,143993888
2013,22039,12,86,98,142834000,2,3,7,0,144325456
2014,22472,12,83,95,142468000,2,2,7,0,144664837
2015,22720,17,83,100,142423773,3,7,7,0,144985059
2016,23180,17,86,103,142355415,3,9,7,0,145275374
2017,23252,17,85,102,142257519,3,10,6,0,145530091
2018,23300,17,80,97,142122776,3,10,5,1,145734034
2019,,17,81,98,,3,8,5,0,145872260
2020,,17,80,97,,3,7,5,0,145934460
2021,,17,74,91,,3,7,5,0,145912022
