Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1989,200,0,3,3,3932000,0,0,0,0
1991,1000,0,9,9,3995000,0,3,0,0
1993,1900,0,14,14,3947000,0,3,0,0
1995,2400,0,14,14,3898000,0,3,0,0
1997,2700,0,14,14,3914000,0,3,0,0
1999,3564,0,16,16,4028000,0,3,0,0
2000,3920,0,16,16,4143000,0,3,0,0
2001,4265,0,16,16,4304000,0,3,0,0
2002,4782,0,16,16,4506000,0,3,0,0
2003,5168,0,17,17,4730000,0,3,0,0
2004,5712,0,17,17,4952000,0,3,0,0
2005,6263,0,15,15,5153000,0,2,0,0
2006,6938,0,17,17,5327000,0,2,0,0
2007,7657,0,18,18,5478000,0,2,1,0
2008,8054,0,18,18,5612000,0,2,1,0
2009,8330,0,22,22,5739000,0,2,1,0
2010,8907,0,23,23,5868000,0,2,1,0
2011,10084,0,24,24,5997000,0,3,1,0
2012,11664,8,19,27,6126000,1,3,1,0
2013,13078,8,22,30,6092000,1,3,1,0
2014,14776,8,31,39,6205000,1,5,1,0
2015,16155,9,36,45,5879098,1,5,1,0
2016,17671,10,45,55,6018888,1,6,1,0
2017,19443,29,38,67,6163195,5,4,1,0
2018,21286,32,37,69,6312212,5,4,1,0
2019,22787,47,32,79,6468573,7,2,1,1
2020,,53,29,82,,7,2,1,0
2021,,62,24,86,,9,1,1,0
