Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1970,100,,2,2,2074000,,,,,2072284
1975,512,,,,2262000,,,,,2259721
1977,533,,,,2318000,,,,,2314988
1979,660,,,,2375000,,,,,2372594
1981,812,,,,2463000,,,,,2460503
1983,833,,,,2583000,0,1,1,0,2580915
1985,960,0,,,2709000,,,,,2705537
1987,1300,0,5,5,2823000,0,1,1,0,2816974
1989,1400,0,5,5,2944000,0,1,1,0,2937277
1991,1700,0,5,5,3099000,0,1,1,0,3101144
1993,1800,0,6,6,3287000,0,1,1,0,3305801
1995,1900,5,2,7,3482000,1,0,1,0,3525964
1997,2000,5,2,7,3671000,1,0,1,0,3752131
1999,2099,6,2,8,3845000,1,0,1,0,3954741
2000,2162,6,2,8,3919000,1,0,1,0,4028872
2001,2228,8,0,8,3981000,1,0,1,0,4077150
2002,2265,8,0,8,4032000,1,0,1,0,4104407
2003,2334,8,1,9,4086000,1,0,1,0,4129227
2004,2385,8,1,9,4160000,1,0,1,0,4177202
2005,2443,8,1,9,4266000,1,0,1,0,4265693
2006,2612,8,1,9,4410000,1,0,1,0,4402324
2007,2723,8,1,9,4585000,1,0,1,0,4578629
2008,2890,8,1,9,4772000,1,0,1,0,4775810
2009,2938,8,1,9,4946000,1,0,1,0,4966614
2010,3337,8,1,9,5086000,1,0,1,0,5131170
2011,3573,10,1,11,5188000,1,0,1,0,5263640
2012,3573,10,1,11,5256000,1,0,1,0,5369469
2013,3608,10,1,11,5412000,1,0,1,0,5453732
2014,3590,10,1,11,5517000,1,0,1,0,5525628
2015,3611,10,1,11,5674472,1,0,1,0,5592143
2016,3381,10,1,11,5781728,1,0,1,0,5653625
2017,3367,10,1,11,5888926,1,0,1,0,5708042
2018,3449,10,0,10,5995991,1,0,1,0,5757503
2019,3439,7,0,7,6102826,1,0,1,0,5804343
2020,,7,1,8,,1,0,1,0,5850343
2021,3401,7,1,8,,1,0,1,0,5896684
