Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1974,620,,,,35346000,,,,,35476435
1975,1272,,25,25,35739000,0,3,3,0,35879210
1977,2499,,,,36502000,,,,,36666770
1979,5395,,,,37196000,,,,,37386810
1981,7779,,,,37757000,,,,,37971968
1983,10218,,,,38177000,,,,,38413300
1985,11600,,,,38476000,,,,,38733866
1987,14000,11,96,107,38673000,3,11,4,0,38954490
1989,17000,15,114,129,38814000,3,12,5,0,39118555
1991,23000,18,126,144,38979000,3,15,5,0,39299081
1993,25000,17,127,144,39203000,3,18,5,1,39533726
1995,27000,19,125,144,39427000,4,17,5,1,39787413
1997,29000,30,112,142,39609000,6,15,5,1,40035286
1999,30439,37,107,144,39949000,7,16,5,1,40454472
2000,31695,40,104,144,40288000,7,16,5,1,40824745
2001,33096,40,103,143,40767000,7,15,5,1,41319431
2002,34831,40,104,144,41365000,7,15,5,1,41919593
2003,36270,47,93,140,42040000,8,14,5,1,42596455
2004,38096,55,85,140,42732000,9,11,5,1,43308345
2005,39784,56,86,142,43395000,9,11,5,1,44019118
2006,41188,58,76,134,44018000,9,10,4,1,44728561
2007,42873,61,72,133,44604000,9,9,4,1,45429071
2008,44304,65,71,133,45146000,9,9,4,1,46068811
2009,45729,67,66,133,45638000,10,6,4,1,46583566
2010,47337,67,66,133,46182000,10,6,3,1,46931011
2011,48678,67,68,135,46514000,10,5,3,1,47084242
2012,50049,69,69,138,46755000,13,5,3,1,47063059
2013,51192,80,60,140,46927000,14,4,3,1,46930554
2014,52747,86,55,141,47066000,14,4,3,1,46777927
2015,53933,86,56,142,48146134,14,4,3,1,46671919
2016,55112,87,55,142,48563476,14,4,3,1,46634131
2017,56496,85,54,139,48958159,14,4,3,1,46647425
2018,58061,92,46,138,49331076,15,2,2,1,46692863
2019,59730,93,44,137,49673434,15,2,2,1,46736782
2020,,94,43,137,,15,1,2,1,46754783
2021,61455,95,42,137,,15,1,2,1,46745211
