Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1987,5700,15,16,31,6531000,3,0,2,1,6510593
1989,6200,16,16,32,6618000,3,0,2,1,6597360
1991,6700,15,18,33,6740000,3,0,2,1,6718818
1993,6700,16,20,36,6891000,3,0,2,1,6868937
1995,6900,15,24,39,7019000,3,0,2,1,6995519
1997,6800,17,23,40,7090000,3,0,2,1,7068503
1999,7043,20,20,40,7137000,3,0,2,1,7115031
2000,7172,20,20,40,7168000,3,0,2,1,7143764
2001,7366,20,20,40,7201000,3,0,2,1,7179174
2002,7418,21,18,39,7242000,3,0,2,1,7220378
2003,7527,22,17,39,7289000,3,0,2,1,7268363
2004,7609,22,17,39,7345000,3,0,2,1,7323728
2005,7699,23,16,39,7409000,4,0,2,1,7386818
2006,7730,23,16,39,7482000,4,0,2,1,7457961
2007,7875,23,16,39,7565000,5,0,2,1,7536986
2008,7939,23,13,36,7653000,5,0,2,1,7622826
2009,7947,24,12,36,7743000,5,0,2,1,7713902
2010,8092,26,10,36,7831000,5,0,1,1,7808674
2011,8342,26,10,36,7915000,5,0,0,1,7906988
2012,8456,26,10,36,7997000,5,0,0,1,8008006
2013,8741,26,10,36,8118720,5,0,0,1,8108876
2014,8895,28,8,36,8211380,5,0,0,1,8206003
2015,9072,28,9,37,8298660,5,0,0,1,8296775
2016,9213,28,9,37,8179294,5,0,0,1,8379915
2017,9002,28,8,36,8236303,5,0,0,1,8455797
2018,9034,28,8,36,8292809,5,0,0,1,8525614
2019,9071,27,8,35,8348402,5,0,0,1,8591361
2020,,27,8,35,,5,0,0,1,8654618
2021,9160,27,8,35,,5,0,0,1,8715494
