Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1960,371,,,,10862000,,,,,10876147
1965,2448,,,,12454000,,,,,12901154
1967,3399,,,,13325000,,,,,13743215
1970,3509,,,,14559000,,,,,14924462
1971,4623,,,,14899000,,,,,15268159
1975,8390,,,,16080000,,,,,16464929
1977,7933,,,,16762000,,,,,17043397
1979,8367,,,,17474000,,,,,17618937
1981,8679,,,,18127000,,,,,18191727
1983,10016,,,,18712000,,,,,18760237
1985,11600,,,,19226000,,,,,19303402
1987,14000,19,28,47,19662000,3,2,2,1,19806742
1989,17000,19,28,47,20045000,3,2,2,1,20266424
1991,19000,19,27,46,20422000,3,3,2,1,20679072
1993,21000,19,29,48,20800000,3,4,2,1,21044700
1995,22000,22,35,57,21156000,4,4,2,1,21356025
1997,24000,31,31,62,21474000,5,4,2,1,21608309
1999,26805,35,36,71,21778000,6,5,3,1,21838635
2000,29827,36,40,76,21935000,6,5,3,1,21966528
2001,33506,45,36,81,22101000,7,4,3,1,22108715
2002,36598,45,40,85,22271000,7,4,3,1,22262297
2003,38731,53,37,90,22438000,8,3,3,1,22419785
2004,40855,66,25,91,22593000,9,2,3,1,22570229
2005,42881,69,23,92,22728000,9,2,3,1,22705719
2006,45086,74,20,94,22840000,9,2,3,1,22823846
2007,47034,77,20,97,22933000,10,2,3,1,22927222
2008,49054,79,22,101,23010000,10,2,3,1,23019042
2009,51090,80,22,102,23080000,10,2,2,1,23104542
2010,53111,83,17,100,23146000,11,1,2,1,23187556
2011,54529,79,21,100,23210000,11,2,2,1,23268760
2012,55805,79,21,100,23272000,11,2,2,1,23346898
2013,56821,80,21,101,23330000,11,2,2,1,23421582
2014,57889,84,21,105,23382000,12,2,2,1,23491976
2015,58756,97,16,113,23415126,16,1,2,1,23557473
2016,59586,108,9,117,23464787,17,0,2,1,23618201
2017,60304,108,9,117,23508428,17,0,2,1,23674546
2018,61034,108,9,117,23545963,17,0,2,1,23726460
2019,61607,98,10,108,23574506,16,0,2,1,23773881
2020,,91,9,100,,16,0,2,1,23816775
2021,62098,90,8,98,,16,0,2,1,23855008
