Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1997,25,0,0,0,4349000,,,,,4485945
1999,122,0,1,1,4651000,0,0,0,0,4780455
2000,117,0,1,1,4794000,0,0,0,0,4924406
2001,190,0,1,1,4926000,0,0,0,0,5062571
2002,361,0,1,1,5051000,0,0,0,0,5197040
2003,417,0,1,1,5170000,0,0,0,0,5330629
2004,504,0,1,1,5288000,0,0,0,0,5467770
2005,532,0,1,1,5408000,0,0,0,0,5611643
2006,575,0,2,2,5530000,0,0,0,0,5762881
2007,733,0,2,2,5653000,0,0,0,0,5920360
2008,793,0,3,3,5777000,0,0,0,0,6083417
2009,1034,0,3,3,5902000,0,1,0,0,6250840
2010,1246,0,5,5,6028000,0,1,0,0,6421674
2011,1555,0,6,6,6155000,0,1,0,0,6595939
2012,1861,0,11,11,6283000,0,1,0,0,6773807
2013,2307,8,4,12,6817000,1,0,0,0,6954721
2014,2801,8,6,14,6993000,1,0,0,0,7137997
2015,3279,9,7,16,7552318,1,0,0,0,7323162
2016,3804,10,7,17,7756937,1,0,0,0,7509952
2017,4134,14,3,17,7965055,2,0,0,0,7698476
2018,4736,14,5,19,8176449,2,0,0,0,7889095
2019,5320,14,7,21,8392447,2,0,0,0,8082359
2020,,14,6,20,,2,0,0,0,8278736
2021,5997,15,7,22,,2,0,0,0,8478242
