Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1991,100,0,1,1,52000000,0,0,0,0,51461273
1993,1700,0,25,25,51555000,0,3,2,0,51316013
1995,3100,0,37,37,51147000,0,6,2,0,50903783
1997,5000,0,52,52,50422000,0,6,2,0,50187280
1999,7043,0,59,59,49511000,0,8,2,1,49288739
2000,7221,0,58,58,49057000,0,7,2,1,48838058
2001,7990,0,59,59,48621000,0,7,2,1,48401648
2002,8627,0,57,57,48201000,0,6,2,1,47980033
2003,8984,0,53,53,47807000,0,5,2,1,47582463
2004,9499,7,46,53,47450000,1,5,2,1,47217489
2005,9951,7,47,54,47136000,1,5,2,1,46890775
2006,10214,8,49,57,46871000,1,5,2,1,46607397
2007,10394,8,51,59,46653000,1,4,3,1,46366347
2008,10557,8,55,63,46461000,1,4,3,1,46158709
2009,10722,8,56,64,46267000,1,4,3,1,45970942
2010,10880,8,54,62,46050000,1,4,3,1,45792086
2011,11015,8,49,57,45803000,1,3,3,1,45619850
2012,11178,8,48,56,45530000,1,3,3,1,45453805
2013,11439,7,49,56,45239000,1,3,4,1,45286988
2014,11536,7,44,51,44941000,1,3,3,1,45111530
2015,11559,7,42,49,44429471,1,2,3,1,44921636
2016,11097,7,40,47,44209733,1,5,3,1,44713708
2017,11167,7,41,48,44033874,1,5,3,1,44487708
2018,11153,8,40,48,43952299,1,4,2,1,44246158
2019,11242,8,40,48,43937619,1,4,2,1,43993643
2020,,8,41,49,,1,5,2,1,43733759
2021,11216,12,35,47,,2,4,2,1,43466822
