Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1920,437500,,,,106142000,,,,
1930,541900,,,,123203000,,,,
1940,670500,,,,132165000,,,,
1950,926700,,,,151326000,,,,
1960,1422700,,,,178563000,,,,
1970,2016800,,,,202586000,,,,
1975,2336715,,,,219108000,,,,
1977,2486261,,,,223275000,,,,
1979,2693765,,,,227624000,,,,
1981,2882145,,,,232035000,,,,
1983,3049965,,,,236511000,,,,
1985,3863598,,,,241120000,,,,
1987,4100000,7456,1226,8682,245921000,1108,18,71,22
1989,4175000,7749,1286,9035,250858000,1112,17,73,22
1991,4336000,8056,1405,9461,255807000,1142,20,81,25
1993,4520000,8433,1580,10013,260803000,1169,16,86,26
1995,4712000,8719,1698,10417,266324000,1196,20,90,29
1997,4923000,9189,1622,10811,272643000,1257,16,95,37
1999,5113409,9627,1688,11315,279300000,1291,15,99,53
2000,5208827,9853,1709,11562,282496000,1310,16,100,56
2001,5310598,9999,1878,11731,285545000,1328,16,101,60
2002,5410544,10158,1880,11879,288467000,1336,16,105,61
2003,5503192,10357,1954,12112,291291000,1353,16,106,62
2004,5599177,10567,2106,12463,294063000,1380,14,106,64
2005,5690672,10778,2186,12753,296820000,1390,13,106,65
2006,5779316,10978,2232,13010,299564000,1410,13,106,65
2007,5873408,11151,2223,13201,302285000,1422,12,106,65
2008,5974041,11289,2074,13363,306657000,1438,12,106,70
2009,6058907,11401,2074,13475,309492000,1451,12,104,72
2010,6144582,11551,2050,13601,312247000,1465,10,102,75
2011,6229233,11627,2001,13628,314912000,1485,10,100,79
2012,6321416,11785,1957,13742,314799470,1497,9,103,80
2013,6398889,11928,1938,13866,317135920,1510,9,120,81
2014,6466267,12091,1927,14018,319448630,1535,8,120,81
2015,6531656,12242,1918,14160,321773630,1552,7,124,81
2016,6592195,12357,1868,14225,323995528,1592,7,125,81
2017,6642173,12400,1825,14225,326625997,1616,7,125,83
2018,6681829,12501,1773,14274,329256465,1629,6,117,87
2019,6721032,12677,1782,14459,330947784,1642,5,108,93
2020,,12780,1793,14573,,1659,5,110,81
2021,6763019,12857,1816,14673,,1670,6,109,82
