Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1975,3572202,,,8151,4079480606,737,,134,18,4079480474
1976,3742749,,,8619,4154666864,798,,148,19,4154666827
1977,3966000,,,9160,4229506060,885,,157,20,4229505919
1978,4160000,,,9854,4304533501,990,,166,22,4304533599
1979,4439000,,,11486,4380506100,1092,,175,22,4380506185
1980,4638000,,,12591,4458003514,1218,,188,28,4458003466
1981,4936000,,,13213,4536996762,1321,342,186,36,4536996619
1982,5165000,,,13616,4617386542,1392,336,180,42,4617386526
1983,5400000,,,13994,4699569304,1458,343,177,42,4699569187
1984,5650000,,,14463,4784011621,1507,353,180,47,4784011517
1985,5920000,,,15005,4870921740,1582,352,188,47,4870921666
1986,6170000,,,15389,4960567912,1622,346,193,47,4960568000
1987,6440000,10907,5099,16006,5052522147,1666,379,205,47,5052521998
1988,6720000,,,16558,5145426008,1707,402,222,47,5145425994
1989,7300000,11520,5785,17305,5237441558,1739,432,228,47,5237441434
1990,7760000,,,18090,5327231061,1784,479,256,48,5327231041
1991,8120000,12184,6626,18810,5414289444,1837,527,267,50,5414289383
1992,8406895,,,20081,5498919809,1919,601,276,53,5498919893
1993,8696224,13255,7747,21002,5581597546,1968,647,295,55,5581597598
1994,9024569,,,21774,5663150427,2008,709,303,57,5663150428
1995,9340898,14336,8361,22697,5744212979,2150,699,307,63,5744212930
1996,9694549,,,23528,5824891951,2296,671,309,64,5824891931
1997,10070524,16678,7992,24670,5905045788,2424,649,318,71,5905045647
1998,10354241,,,25551,5984793942,2505,631,331,98,5984794075
1999,10752986,17699,8094,25793,6064239055,2542,636,333,115,6064239033
2000,11068861,17994,7921,25915,6143493823,2581,621,334,121,6143493806
2001,11394522,18205,7879,26084,6222626606,2607,618,333,125,6222626531
2002,11721548,18285,7858,26143,6301773188,2602,641,335,128,6301773172
2003,11985254,18496,7741,26237,6381185114,2624,644,337,129,6381185141
2004,12275822,18860,7810,26670,6461159389,2665,646,338,131,6461159391
2005,12560869,19253,7834,27087,6541907027,2701,643,341,131,6541906956
2006,12868606,19615,7860,27475,6623517833,2745,630,344,135,6623517917
2007,13193999,19978,7849,27827,6705946610,2790,618,348,137,6705946643
2008,13508509,20205,7904,28109,6789088686,2818,622,348,146,6789088672
2009,13824854,20535,7889,28424,6872767093,2865,616,344,151,6872766988
2010,14131467,20854,7806,28660,6956823603,2896,614,340,157,6956823588
2011,14441346,21101,7683,28784,7041194301,2946,608,340,166,7041194168
2012,14782473,21447,7567,29014,7125828059,3005,591,347,168,7125827957
2013,15082028,21751,7502,29253,7210581976,3050,571,405,170,7210582041
2014,15372337,22176,7445,29621,7295290765,3114,561,406,170,7295290759
2015,15634199,22572,7444,30016,7379797139,3174,558,418,173,7379796967
2016,15882417,22941,7363,30304,7464022049,3266,556,421,177,7464021934
2017,16118169,23225,7281,30506,7547858925,3341,553,421,182,7547858900
2018,16313735,23408,7128,30536,7631091040,3383,545,407,201,7631091113
2019,16565036,23831,7109,30940,7713468100,3437,542,399,217,7713468205
2020,16663663,24037,7099,31136,7794798739,3463,537,405,,7794798729
2021,16805400,24253,7062,31315,,3498,520,407,,7874965732
