Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1977,752,0,,,6581000,,,,,6712825
1983,657,0,,,8198000,,,,,8254745
1985,1400,0,,,8860000,,,,,8877489
1987,1300,0,6,6,9527000,0,1,1,0,9527202
1989,1600,0,10,10,10167000,0,2,1,0,10153852
1991,2900,0,20,20,10733000,0,3,1,0,10681008
1993,5300,0,24,24,11211000,0,3,1,0,11092775
1995,6200,0,23,23,11639000,0,3,1,0,11410721
1997,7400,0,23,23,12046000,0,2,1,0,11653254
1999,8287,4,21,25,12385000,1,1,1,0,11822722
2000,8923,5,23,28,12504000,1,2,1,0,11881482
2001,9787,5,21,26,12587000,1,2,1,0,11923906
2002,10655,7,22,29,12641000,1,2,1,0,11954293
2003,12616,8,26,34,12673000,1,3,1,0,11982219
2004,14561,10,32,42,12693000,1,3,1,0,12019911
2005,15563,17,32,49,12711000,2,2,1,0,12076697
2006,16240,18,27,45,12724000,2,2,1,0,12155496
2007,16969,18,27,45,12740000,2,2,1,0,12255920
2008,17241,17,27,44,12784000,3,2,1,0,12379553
2009,17632,18,29,47,12889000,3,2),1,0,12526964
2010,18549,18,30,48,13077000,3,2,1,0,12697728
2011,20908,23,27,50,13359000,4,1,1,0,12894323
2012,23117,31,29,60,13724000,4,2,1,0,13115149
2013,25001,33,27,60,14150000,5,2,1,0,13350378
2014,26156,33,31,64,14599000,6,2,1,0,13586710
2015,27825,35,36,71,14229541,6,2,1,1,13814642
2016,29570,37,38,75,14546961,7,2,1,1,14030338
2017,31465,40,39,79,13805084,7,3,1,1,14236599
2018,32937,41,39,80,14030368,7,3,2,1,14438812
2019,34330,43,44,87,14288341,7,3,2,1,14645473
2020,,44,46,90,,7,3,2,0,14862927
2021,36152,50,41,91,,8,2,2,0,15092171
