Country,Continent,Members,Population,Percent LDS,Temples,Missions,Districts,Stakes,Wards,Branches,Wards & Branches,FHC,Footnote
Angola,Africa,"3,490","32,522,339",0.01,0,1,0,1,6,9,15,1,
Benin,Africa,"4,018","12,864,634",0.03,0,1,1,1,7,12,19,1,
Botswana,Africa,"3,653","2,317,233",0.16,0,0,0,1,9,6,15,2,
Burundi,Africa,749,"11,865,821",0.01,0,0,0,0,0,3,3,1,
Cameroon,Africa,"2,245","27,744,989",0.01,0,1,2,0,0,14,14,1,
Cape Verde,Africa,"15,780","583,255",2.71,0,1,2,3,24,18,42,6,
Central African Republic,Africa,248,"5,990,855",0,0,0,0,0,0,1,1,0,
Democratic Republic of the Congo,Africa,"68,871","101,780,263",0.07,1,4,1,23,178,33,211,24,
Djibouti,Africa,25,"887,860",0,0,0,0,0,0,1,1,0,(b)
Egypt,Africa,100,"91,508,080",0,0,0,0,0,0,2,2,0,(b)
Eswatini,Africa,"2,091","1,104,479",0.19,0,0,0,0,0,6,6,2,
Ethiopia,Africa,"1,803","108,113,150",0,0,0,0,0,0,4,4,1,
Gabon,Africa,302,"2,119,036",0.01,0,0,0,0,0,2,2,1,(c)
Ghana,Africa,"89,135","29,340,248",0.3,1,4,11,25,188,140,328,53,
Guinea,Africa,61,"11,855,411",0,0,0,0,0,0,1,1,0,(c)
Ivory Coast,Africa,"52,241","27,481,086",0.19,0,3,17,14,127,123,250,27,
Kenya,Africa,"14,591","53,527,936",0.03,0,1,6,2,13,41,54,5,
Lesotho,Africa,"1,303","1,969,334",0.07,0,0,0,0,0,6,6,1,
Liberia,Africa,"14,538","5,073,296",0.29,0,1,1,5,38,15,53,5,
Madagascar,Africa,"12,887","26,955,737",0.05,0,1,3,2,16,26,42,10,
Malawi,Africa,"3,143","21,196,629",0.01,0,0,0,0,0,8,8,0,
Mali,Africa,70,"18,429,893",0,0,0,0,0,0,1,1,0,(c)
Mauritius,Africa,562,"1,379,365",0.04,0,0,0,0,0,3,3,0,
Morocco,Africa,95,"36,191,805",0.03,0,0,0,0,0,1,1,1,(c)
Mozambique,Africa,"15,032","30,098,197",0.05,0,1,2,4,25,19,44,8,
Namibia,Africa,952,"2,630,073",0.04,0,0,0,0,0,4,4,1,
Nigeria,Africa,"192,144","214,028,302",0.09,1,7,19,59,428,294,722,70,
Republic of the Congo,Africa,"8,542","5,293,070",0.16,0,1,2,2,17,10,27,3,
Reunion,Africa,958,"859,959[10]",0.11,0,0,0,0,0,4,4,5,
Rwanda,Africa,755,"12,712,431",0.01,0,0,0,0,0,3,3,0,
Senegal,Africa,108,"15,020,945",0.08,0,0,0,0,0,2,2,0,(c)
Sierra Leone,Africa,"22,787","6,624,933",0.34,0,1,2,7,47,32,79,8,
South Africa,Africa,"68,772","56,463,617",0.12,2,4,9,17,112,81,193,76,
Tanzania,Africa,"1,793","58,552,845",0,0,0,0,0,0,8,8,1,
Togo,Africa,"5,320","8,608,444",0.06,0,0,2,0,14,7,21,1,
Uganda,Africa,"17,887","43,252,966",0.04,0,1,4,3,16,20,36,8,
Zambia,Africa,"4,681","17,426,623",0.03,0,1,2,1,7,6,13,2,
Zimbabwe,Africa,"34,330","14,546,314",0.24,0,2,3,7,43,44,87,18,
Armenia,Asia,"3,579","3,021,324",0.12,0,1,2,0,0,11,11,4,
Bahrain,Asia,245,"1,505,003",0.02,0,0,0,1,1,0,1,0,
Bangladesh,Asia,50,"160,995,640",0,0,0,0,0,0,1,1,0,(b)
Burma (Myanmar),Asia,200,"56,320,206",0,0,0,0,0,0,2,2,0,(b)
Cambodia,Asia,"15,187","16,926,984",0.09,0,1,4,2,10,18,28,9,
China (Mainland),Asia,"12,000","1,394,015,977",0,0,0,8,0,0,100,100,0,(d)
Georgia,Asia,246,"3,997,000",0.01,0,0,0,0,0,2,2,1,
Hong Kong,Asia,"25,083","7,249,907",0.35,1,1,1,6,32,5,37,4,
India,Asia,"14,528","1,326,093,247",0,0,2,3,4,21,25,46,15,
Indonesia,Asia,"7,561","267,026,366",0,0,1,1,2,15,9,24,6,
Israel,Asia,306,"8,675,475",0,0,0,0,0,0,4,4,0,
Japan,Asia,"130,340","125,507,472",0.1,3,6,13,28,157,104,261,64,
Jordon,Asia,200,"7,594,550",0,0,0,1,0,0,3,3,1,(b)
Kazakhstan,Asia,230,"19,091,949",0,0,0,0,0,0,3,3,1,
Kuwait,Asia,365,"2,993,706",0.01,0,0,0,0,1,0,1,0,
Laos,Asia,275,"6,911,544",0,0,0,0,0,0,2,2,0,(b)
Lebanon,Asia,225,"5,850,740",0,0,0,0,0,0,1,1,1,(b)
Macau,Asia,"1,463","614,458",0.24,0,0,0,0,0,2,2,1,
Malaysia,Asia,"10,845","32,652,083",0.03,0,0,5,0,0,31,31,8,
Mongolia,Asia,"12,261","3,168,026",0.39,0,1,1,2,12,12,24,9,
Nepal,Asia,180,"28,513,700",0,0,0,0,0,0,1,1,0,(b)
Oman,Asia,107,"4,829,946",0,0,0,0,0,0,1,1,0,(c)
Pakistan,Asia,"4,000","199,085,847",0,0,0,3,0,0,13,13,0,(b)
Philippines,Asia,"805,209","109,180,815",0.74,2,23,63,115,721,518,"1,239",183,
Qatar,Asia,537,"2,363,569",0.02,0,0,0,0,2,1,3,0,(c)
Saudi Arabia (estimate),Asia,"1,500","33,700,000",0,0,0,0,0,10,0,10,0,(c)
Singapore,Asia,"3,439","6,209,660",0.06,0,1,0,1,7,0,7,1,
South Korea,Asia,"88,622","51,835,110",0.17,1,3,5,12,61,40,101,18,
Sri Lanka,Asia,"1,631","22,889,201",0.01,0,0,0,0,0,4,4,3,
Syria (estimate),Asia,40,"16,950,000",0,0,0,0,0,0,1,1,0,(c)
Taiwan,Asia,"61,607","23,603,049",0.26,1,2,0,16,98,10,108,12,
Thailand,Asia,"23,043","68,977,400",0.03,0,1,2,4,20,21,41,8,
United Arab Emirates,Asia,"1,699","9,992,083",0.02,0,0,0,1,5,1,6,1,
Vietnamc,Asia,"2,466","97,040,334",0,0,1,2,0,0,11,11,0,
Albania,Europe,"3,216","3,074,579",0.1,0,1,0,1,6,8,14,3,
Andorrac,Europe,70,"76,953",0.09,0,0,0,0,0,1,1,0,
Austria,Europe,"4,693","8,859,449",0.05,0,0,0,2,14,3,17,12,
Belarusc,Europe,469,"9,452,113",0.01,0,0,1,0,0,3,3,1,
Belgium,Europe,"6,605","11,720,716",0.06,0,0,0,2,10,2,12,8,
Bosnia and Herzegovina,Europe,73,"3,835,586",0,0,0,0,0,0,2,2,0,
Bulgaria,Europe,"2,440","6,966,899",0.04,0,1,0,0,0,7,7,4,
