Wife,Birth,Marriage Date Approx,Marriage Date,Lifespan,Wife's Age at Marriage,Young's Age at Marriage,Marital Status at Time of Marriage,Type of Union,Children,Notes
Miriam Angeline Works,"June 7, 1806","October 8, 1824","October 8, 1824",1806-1832,18,23,First marriage,"Civil, Sealed for eternity (posthumous)",2 with Young,"Died in September 1832 from consumption, just a few months after she and Young were baptized."
Mary Ann Angell,"June 8, 1803",February 1834,February 1834,1803-1882,30,32,First marriage,"Civil, Sealed for time and eternity",6 with Young,"This was not a plural marriage, as Young was a widower at the time. Mother of Brigham Young Jr., John Willard Young and Joseph Angell Young."
Lucy Ann Decker,"May 17, 1822","June 14, 1842","June 14, 1842",1822-1890,20,41,"Abandoned by non-Mormon husband William Seeley, who she had married at the age of fourteen.",Sealed for time and eternity,"7 with Young, 3 with Seeley","First plural wife of Brigham Young. She and Young had seven children, in addition to her three from her previous marriage."
Augusta Adams,"December 7, 1802","November 2, 1843","November 2, 1843",1802-1886,40,42,Married to non-Mormon Henry Cobb (divorced in 1847).,Sealed for time and eternity,"None with Young, 8 with Cobb","Left Boston with Young in September 1843, leaving behind her husband and most of her children. Young later married her son James Cobb's ex-wife, Mary Van Cott Cobb (m. 1868). Grandmother of architect Henry Ives Cobb."
Harriet Elizabeth Cook,"November 7, 1824","November 2, 1843","November 2, 1843",1824-1898,19,42,First marriage,Sealed for time and eternity,1 with Young,"Initially stayed behind in Nauvoo with her and Young's infant son, before joining him at Winter Quarters in 1847."
Clarissa Caroline Decker,"July 22, 1828","May 8, 1844","May 8, 1844",1828-1889,15,42,First marriage,Sealed for time and eternity,5 with Young,"Sister of Lucy Ann Decker (m. 1842). One of three women to be part of the first pioneer company traveling to the Salt Lake Valley in 1847. She adopted Sally, a young Bannock girl who had been captured and sold to Charles Decker by a slave trader."
Emily Dow Partridge,"February 28, 1824",September 1844,September 1844,1824-1899,20,43,Plural widow of Joseph Smith,Sealed for time,7 with Young,Daughter of Edward Partridge. Sealed to Joseph Smith for eternity and Young for life. Mother of Don Carlos Young.
Clarissa Ross,"June 16, 1814","September 10, 1844","September 10, 1844",1814-1857,30,43,First marriage,Sealed for time and eternity,4 with Young,"Stepdaughter of Isaac Chase, a good friend of Young. Mother of Maria Young Dougall and Willard Young."
Louisa Beaman,"February 7, 1815","September 19, 1844","September 19, 1844",1815-1850,29,43,Plural widow of Joseph Smith,Sealed for time,5 with Young,Sealed to Joseph Smith for eternity and to Young for life.
Eliza R. Snow,"January 21, 1804","October 3, 1844","October 3, 1844",1804-1887,40,43,Plural widow of Joseph Smith,Sealed for time,None,"Sealed to Joseph Smith for eternity and to Young for life. The sister of Lorenzo Snow, the fifth president of the LDS Church. Snow was a prominent figure in the church and the second general president of the Relief Society."
Elizabeth Fairchild,"March 29, 1828","October 3, 1844","October 3, 1844",1828-1910,16,43,First marriage (later divorced),Sealed for time and eternity,"None with Young, 3 with later husbands",Obtained an official certificate of divorce from Young in 1855 after two remarriages.
Clarissa Blake,"October 28, 1796","October 8, 1844","October 8, 1844",1796-1863,48,43,Widow of Edmund Morse; Married to Mormon husband Lyman Homiston at the time of her sealing to Young,Sealed for time and eternity,None,Slighted by Young upon his departure from Nauvoo. Later traveled to Utah with her husband to reconcile with Young and was rebuffed.
Rebecca Greenleaf Holman,"February 20, 1824","October 9, 1844","October 9, 1844",1824-1849,20,43,First marriage,Sealed for time and eternity,None,"Died on the journey to the Salt Lake Valley and is buried in Council Bluffs, Iowa."
