Wife,Birth,Marriage Date,Children
Agatha Ann Woolsey,18 January 1814,23 July 1833,13
Sarah Caroline Williams,24 November 1830,19 April 1844,11
Nancy Bean,14 December 1826,4 November 1844,1
Louisa Free,9 August 1824,19 April 1845,1
Delethia Morris,26 November 1825,30 April 1845,0
Abigail Schaffer,13 September 1786,3 May 1845,0
Nancy Ann Vance,29 September 1824,1846,0
Rachel Andora Woolsey,5 August 1825,20 January 1846,8
Martha Elizabeth Berry,22 November 1826,29 January 1846,6
Mary Ann Workman,11 May 1829,31 January 1846,0
Emaline Vaughn Woolsey,4 January 1830,21 December 1846,0
Mary Vance Young,11 November 1817,27 February 1847,3
Lovina Young,25 September 1820,27 February 1847,3
Nancy Gibbons,7 January 1799,27 February 1847,0
Mary Leah Groves,30 October 1836,2 December 1852,7
Mary Ann Williams,11 September 1844,23 August 1856,0
Emma Louise Batchelor,21 April 1836,7 January 1858,9
Terressa Morse,20 October 1813,18 March 1859,1
Ann Gordge,30 May 1849,10 June 1865,3
