Wife,Birth,Marriage Date,Children
Leonora Cannon,6 October 1796,28 January 1833,4
Elizabeth Kaighin,11 September 1811,12 December 1843,3
Jane Ballantyne,11 April 1813,25 February 1844,4
Mary Ann Oakley,20 March 1826,April 1845,5
Sophia Whitaker,21 April 1825,23 April 1847,8
Harriet Whitaker,21 April 1825,4 December 1847,3
Margaret Young,24 April 1837,27 September 1856,9
Josephine Elizabeth Roueche,3 March 1860,19 December 1886,0
Mary Amanda Utley,7 November 1821,17 January 1846,0
Mercy Rachel Fielding,15 June 1807,23 January 1846,0
Mary Ramsbottom,15 July 1826,23 January 1846,0
Ann Hughlings,30 January 1801,30 January 1846,0
Lydia Dibble,5 April 1790,30 January 1846,0
Sarah Thornton,11 June 1806,30 January 1846,0
Annie Ballantyne,2 September 1819,23 April 1847,0
Caroline Hooper Saunders,3 January 1813,9 December 1852,0
