Wife,Birth,Marriage Date,Children
Phebe Whittemore Carter,"March 8, 1807","April 13, 1837",9
Mary Ann Jackson,"February 18, 1818","April 15, 1846",1
Sarah Elinor Brown,"August 22, 1827","August 2, 1846",0
Mary Caroline Barton,"January 12, 1829","August 2, 1846",0
Mary Meek Giles Webster,"September 6, 1802","March 28, 1852",0
Clarissa Henrietta Hardy,"November 20, 1834","April 20, 1852",0
Emma Smith,"March 1, 1838","March 13, 1853",8
Sarah Brown,"January 1, 1834","March 13, 1853",8
Sarah Delight Stocking,"July 26, 1838","July 31, 1857",7
Eudora Young Dunford,"May 12, 1852","March 10, 1877",1
