Wife,Birth,Marriage Date,Children
Jennetta Richards,21 August 1817,24 September 1838,3
Sarah Longstroth,19 February 1826,18 January 1843,4
Nanny Lynn Longstroth,15 April 1828,18 January 1843,3
Susannah Lee,29 May 1809,12 June 1843,0
Amelia Elizabeth Pierson,16 April 1825,22 December 1845,1
Mary Thompson,21 October 1827,27 January 1846,2
Jane Hall,18 February 1826,31 January 1846,0
Ann Read,5 March 1792,6 February 1846,0
Susanna Bayliss,31 May 1812,22 December 1847,1
Rhoda Harriet Foss,19 April 1830,30 November 1851,1
