Country,Temples,Missions,Districts,Stakes,Wards,Branches,Wards & Branches
Albania,0,1,1,1,6,8,14
American Samoa,0,0,0,5,38,5,43
Angola,0,1,0,1,7,10,17
Antigua And Barbuda,0,0,0,0,0,1,1
Argentina,2,13,27,78,484,246,730
Armenia,0,1,2,0,0,11,11
Aruba,0,0,1,0,0,1,1
Australia,5,5,7,42,232,74,306
Austria,0,0,0,2,14,3,17
Bahamas,0,0,0,0,0,2,2
Bahrain,0,0,0,1,1,0,1
Barbados,0,1,1,0,0,4,4
Belarus,0,0,1,0,0,3,3
Belgium,0,0,0,2,10,2,12
Belize,0,0,2,0,0,12,12
Benin,0,1,1,1,7,13,20
Bermuda,0,0,0,0,0,1,1
Bolivia,1,5,8,33,207,63,270
Bonaire,0,0,0,0,0,1,1
Bosnia And Herzegovina,0,0,0,0,0,2,2
Botswana,0,0,0,1,9,5,14
Brazil,7,36,39,279,"1,764",402,"2,166"
British Virgin Isl,0,0,0,0,0,1,1
Bulgaria,0,1,0,0,0,7,7
Burundi,0,0,0,0,0,3,3
Cambodia,0,1,4,2,10,18,28
Cameroon,0,1,2,0,0,14,14
Canada,8,6,4,52,350,149,499
Cape Verde,0,1,2,3,24,18,42
Cayman Islands,0,0,1,0,0,1,1
Central African Republic,0,0,0,0,0,1,1
Chile,2,10,16,74,408,158,566
China,0,0,4,0,0,16,16
Colombia,2,5,10,30,176,75,251
Congo,0,1,0,4,22,4,26
Cook Islands,0,0,1,0,0,5,5
Costa Rica,1,2,1,10,59,20,79
Croatia,0,1,1,0,0,6,6
Cuba,0,0,1,0,0,4,4
Curacao,0,0,0,0,0,1,1
Cyprus,0,0,1,0,0,4,4
Czech Republic,0,1,0,1,7,5,12
Democratic Republic Of Congo,1,4,2,23,197,34,231
Denmark,1,1,0,2,13,9,22
Djibouti,0,0,0,0,0,1,1
Dominica,0,0,0,0,0,1,1
Dominican Republic,1,3,9,21,136,65,201
Ecuador,1,6,6,42,263,52,315
Egypt,0,0,0,0,0,1,1
El Salvador,1,3,0,22,129,29,158
Estonia,0,0,1,0,0,4,4
Ethiopia,0,1,1,0,0,5,5
Falkland Islands,0,0,0,0,0,1,1
Fiji,1,1,3,4,27,25,52
Finland,1,1,3,2,15,16,31
France,1,2,2,10,68,45,113
French Guiana,0,0,0,0,0,1,1
French Polynesia,1,1,2,11,74,22,96
Gabon,0,0,0,0,0,2,2
Georgia,0,0,0,0,0,2,2
Germany,2,3,0,14,94,56,150
Ghana,1,4,10,26,184,147,331
Greece,0,0,0,0,0,3,3
Grenada,0,0,0,0,0,1,1
Guadeloupe,0,0,0,0,0,2,2
Guam,0,1,0,1,4,3,7
Guatemala,2,7,12,51,298,137,435
Guernsey,0,0,0,0,0,1,1
Guinea,0,0,0,0,0,1,1
Guyana,0,0,2,0,0,11,11
Haiti,1,1,4,5,27,21,48
Honduras,1,4,5,31,180,59,239
Hong Kong,1,1,1,6,32,5,37
Hungary,0,1,2,1,5,16,21
Iceland,0,0,0,0,0,3,3
India,0,2,3,4,21,25,46
Indonesia,0,1,1,2,15,9,24
Ireland,0,0,1,1,5,8,13
Isle Of Man,0,0,0,0,1,0,1
Israel,0,0,1,0,0,4,4
Italy,1,2,0,10,63,32,95
Ivory Coast,0,3,17,16,133,122,255
Jamaica,0,1,1,1,6,13,19
Japan,3,6,13,28,156,104,260
Jordan,0,0,1,0,0,3,3
Kazakhstan,0,0,0,0,0,2,2
Kenya,0,1,6,2,13,42,55
Kiribati,0,0,3,2,11,27,38
Kosovo,0,0,0,0,0,2,2
Kuwait,0,0,0,0,1,0,1
Latvia,0,1,1,0,0,5,5
Lebanon,0,0,0,0,0,1,1
Lesotho,0,0,1,0,0,6,6
Liberia,0,1,1,5,41,16,57
Lithuania,0,0,1,0,0,5,5
Luxembourg,0,0,0,0,1,1,2
Macau,0,0,1,0,0,2,2
Macedonia,0,0,0,0,0,1,1
Madagascar,0,1,3,2,17,25,42
Malawi,0,0,2,0,0,9,9
Malaysia,0,0,5,0,0,28,28
Mali,0,0,0,0,0,1,1
Malta,0,0,0,0,0,1,1
Marshall Islands,0,1,0,2,12,1,13
Martinique,0,0,0,0,0,1,1
Mauritius,0,0,1,0,0,3,3
Mexico,13,32,47,222,"1,357",491,"1,848"
Micronesia,0,0,2,1,6,18,24
Moldova,0,0,1,0,0,4,4
Mongolia,0,1,1,2,12,12,24
Montenegro,0,0,0,0,0,1,1
Morocco,0,0,0,0,0,1,1
Mozambique,0,1,2,4,25,22,47
Namibia,0,0,1,0,0,6,6
Nauru,0,0,0,0,0,1,1
Netherlands,1,1,0,3,20,4,24
Netherlands Antilles,0,0,0,0,0,1,1
New Caledonia,0,0,0,1,6,3,9
New Zealand,1,3,2,30,176,52,228
Nicaragua,0,2,4,12,71,39,110
Nigeria,1,7,18,60,446,292,738
Niue,0,0,0,0,0,2,2
Norway,0,1,0,2,11,9,20
Oman,0,0,0,0,0,1,1
Panama,1,1,4,7,44,29,73
Papua New Guinea,0,2,12,2,10,71,81
Paraguay,1,2,9,11,61,72,133
Peru,3,14,17,112,666,112,778
Philippines,2,23,62,116,742,508,"1,250"
Poland,0,1,1,0,0,13,13
Portugal,1,1,3,6,32,34,66
Puerto Rico,0,1,0,5,27,11,38
