Temple,Announcement,Groundbreaking,Dedication
Kirtland Temple,1832-12-27,1833-06-05,1836-03-27
Nauvoo Temple,1840-08-31,1841-02-18,1846-05-01
Salt Lake Temple,1847-07-28,1853-02-14,1893-04-06
St. George Utah Temple,1871-01-31,1871-11-09,1877-04-06
Manti Utah Temple,1875-06-25,1877-04-25,1888-05-21
Logan Utah Temple,1876-10-06,1877-05-18,1884-05-17
Cardston Alberta Temple,1913-06-27,1913-11-09,1923-08-26
Laie Hawaii Temple,1915-10-03,1916-02-08,1919-11-27
Mesa Arizona Temple,1919-10-03,1922-04-25,1927-10-23
Idaho Falls Idaho Temple,1937-03-03,1939-12-19,1945-09-23
Los Angeles California Temple,1937-03-06,1951-09-22,1956-03-11
Bern Switzerland Temple,1952-07-01,1953-08-05,1955-09-11
London England Temple,1953-08-10,1955-08-27,1958-09-07
Hamilton New Zealand Temple,1955-02-17,1955-12-21,1958-04-20
Oakland California Temple,1961-01-23,1962-05-26,1964-11-17
Provo Utah Temple,1967-08-14,1969-09-15,1972-02-09
Ogden Utah Temple,1967-08-24,1969-09-08,1972-01-18
Washington D.C. Temple,1968-11-15,1968-12-07,1974-11-19
São Paulo Brazil Temple,1975-03-01,1976-03-20,1978-10-30
Tokyo Japan Temple,1975-08-09,1978-04-10,1980-10-27
Seattle Washington Temple,1975-11-15,1978-05-27,1980-11-17
Mexico City Mexico Temple,1976-04-03,1979-11-25,1983-12-02
Apia Samoa Temple,1977-10-15,1981-02-19,1983-08-05
Jordan River Utah Temple,1978-02-03,1979-06-09,1981-11-16
Atlanta Georgia Temple,1980-04-02,1981-03-07,1983-06-01
Buenos Aires Argentina Temple,1980-04-02,1983-04-20,1986-01-17
Nuku'alofa Tonga Temple,1980-04-02,1981-02-18,1983-08-09
Papeete Tahiti Temple,1980-04-02,1981-02-13,1983-10-27
Santiago Chile Temple,1980-04-02,1981-05-30,1983-09-15
Sydney Australia Temple,1980-04-02,1982-08-13,1984-09-20
Chicago Illinois Temple,1981-04-01,1983-08-13,1985-08-09
Dallas Texas Temple,1981-04-01,1983-01-22,1984-10-19
Frankfurt Germany Temple,1981-04-01,1985-07-01,1987-08-28
Guatemala City Guatemala Temple,1981-04-01,1982-09-12,1984-12-14
Johannesburg South Africa Temple,1981-04-01,1982-11-27,1985-08-24
Lima Peru Temple,1981-04-01,1982-09-11,1986-01-10
Manila Philippines Temple,1981-04-01,1982-08-25,1984-09-25
Seoul Korea Temple,1981-04-01,1983-05-09,1985-12-14
Stockholm Sweden Temple,1981-04-01,1984-03-17,1985-07-02
Boise Idaho Temple,1982-03-31,1982-12-18,1984-05-25
Denver Colorado Temple,1982-03-31,1984-05-19,1986-10-24
Guayaquil Ecuador Temple,1982-03-31,1996-08-10,1999-08-01
Taipei Taiwan Temple,1982-03-31,1982-08-27,1984-11-17
Freiberg Germany Temple,1982-10-09,1983-04-23,1985-06-29
Bogotá Colombia Temple,1984-04-07,1993-06-26,1999-04-24
Las Vegas Nevada Temple,1984-04-07,1985-11-30,1989-12-16
Portland Oregon Temple,1984-04-07,1986-09-20,1989-08-19
San Diego California Temple,1984-04-07,1988-02-27,1993-04-25
Toronto Ontario Temple,1984-04-07,1987-10-10,1990-08-25
Bountiful Utah Temple,1990-02-02,1992-05-02,1995-01-08
Orlando Florida Temple,1990-02-17,1992-06-20,1994-10-09
St. Louis Missouri Temple,1990-12-29,1993-10-30,1997-06-01
Hong Kong China Temple,1992-10-03,1994-01-22,1996-05-26
Mount Timpanogos Utah Temple,1992-10-03,1993-10-09,1996-10-13
Preston England Temple,1992-10-19,1994-06-12,1998-06-07
Madrid Spain Temple,1993-04-04,1996-06-11,1999-03-19
Santo Domingo Dominican Republic Temple,1993-11-16,1996-08-18,2000-09-17
Vernal Utah Temple,1994-02-13,1995-05-13,1997-11-02
Nashville Tennessee Temple,1994-11-09,1999-03-13,2000-05-21
Cochabamba Bolivia Temple,1995-01-13,1996-11-10,2000-04-30
Recife Brazil Temple,1995-01-13,1996-11-11,2000-12-15
Boston Massachusetts Temple,1995-09-30,1997-06-13,2000-10-01
Caracas Venezuela Temple,1995-09-30,1999-01-10,2000-08-20
Monterrey Mexico Temple,1995-12-21,2000-11-04,2002-04-28
Billings Montana Temple,1996-08-30,1998-03-30,1999-11-20
Campinas Brazil Temple,1997-04-03,1998-05-01,2002-05-17
Albuquerque New Mexico Temple,1997-04-04,1998-06-20,2000-03-05
Houston Texas Temple,1997-09-30,1998-06-13,2000-08-26
Porto Alegre Brazil Temple,1997-09-30,1998-05-02,2000-12-17
Anchorage Alaska Temple,1997-10-04,1998-04-17,1999-01-09
Colonia Juárez Chihuahua Mexico Temple,1997-10-04,1998-03-07,1999-03-06
Monticello Utah Temple,1997-10-04,1997-11-17,1998-07-26
Accra Ghana Temple,1998-02-16,2001-11-16,2004-01-11
Columbus Ohio Temple,1998-04-25,1998-09-12,1999-09-04
Ciudad Juárez Mexico Temple,1998-05-07,1999-01-09,2000-02-26
Fukuoka Japan Temple,1998-05-07,1999-03-20,2000-06-11
Halifax Nova Scotia Temple,1998-05-07,1998-10-12,1999-11-14
Kona Hawaii Temple,1998-05-07,1999-03-13,2000-01-23
Suva Fiji Temple,1998-05-07,1999-05-08,2000-06-18
Tampico Mexico Temple,1998-07-08,1998-11-28,2000-05-20
Brisbane Australia Temple,1998-07-20,2001-05-26,2003-06-15
Hermosillo Sonora Mexico Temple,1998-07-20,1998-12-05,2000-02-27
Kyiv Ukraine Temple,1998-07-20,2007-06-23,2010-08-29
Bismarck North Dakota Temple,1998-07-29,1998-10-17,1999-09-19
St. Paul Minnesota Temple,1998-07-29,1998-09-26,2000-01-09
Regina Saskatchewan Temple,1998-08-03,1998-11-14,1999-11-14
Montreal Quebec Temple,1998-08-06,1999-04-09,2000-06-04
Detroit Michigan Temple,1998-08-10,1998-10-10,1999-10-23
Edmonton Alberta Temple,1998-08-11,1999-02-27,1999-12-11
Spokane Washington Temple,1998-08-13,1998-10-10,1999-08-21
Raleigh North Carolina Temple,1998-09-03,1999-02-06,1999-12-18
Birmingham Alabama Temple,1998-09-11,1999-10-09,2000-09-03
Columbia South Carolina Temple,1998-09-11,1998-12-05,1999-10-16
Memphis Tennessee Temple,1998-09-17,1999-01-16,2000-04-23
Mérida Mexico Temple,1998-09-25,1999-01-16,2000-07-08
Baton Rouge Louisiana Temple,1998-10-14,1999-05-08,2000-07-16
Melbourne Australia Temple,1998-10-30,1999-03-20,2000-06-16
Villahermosa Mexico Temple,1998-10-30,1999-01-09,2000-05-21
Montevideo Uruguay Temple,1998-11-02,1999-04-27,2001-03-18
Fresno California Temple,1999-01-08,1999-03-20,2000-04-09
Palmyra New York Temple,1999-02-21,1999-05-25,2000-04-06
Oaxaca Mexico Temple,1999-02-23,1999-03-13,2000-03-11
Tuxtla Gutiérrez Mexico Temple,1999-02-25,1999-03-20,2000-03-12
Oklahoma City Oklahoma Temple,1999-03-14,1999-07-03,2000-07-30
Medford Oregon Temple,1999-03-15,1999-05-20,2000-04-16
Adelaide Australia Temple,1999-03-17,1999-05-29,2000-06-15
Copenhagen Denmark Temple,1999-03-17,1999-04-24,2004-05-23
